# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","HEX","ROX"
"4","A4","60","147175.23","192908.5"
"4","A4","61","147537.72","192995.03"
"4","A4","62","147981.25","193095.03"
"4","A4","63","148474.16","193025.73"
"4","A4","64","148676.61","193010.89"
"4","A4","65","149029.66","192940.25"
"4","A4","66","149518.16","192957.42"
"4","A4","67","149991.25","192898.72"
"4","A4","68","150263.88","192946.22"
"4","A4","69","150543.1","192894.78"
"4","A4","70","150948.6","192940.12"
"4","A4","71","151382.02","192859.25"
"4","A4","72","151896.1","192789.34"
"4","A4","73","152201.42","192674.03"
"4","A4","74","152339.44","192646.19"
"4","A4","75","152814.12","192934.81"
"4","A4","76","153457.95","192972.08"
"4","A4","77","154051.3","193013.8"
"4","A4","78","154368.81","192891.31"
"4","A4","79","154925.92","192789.81"
"4","A4","80","155601.55","192867.25"
"4","A4","81","156255.8","192898.34"
"4","A4","82","156924.27","192826.69"
"4","A4","83","158037.45","192874.58"
"4","A4","84","159365.45","192884.95"
"4","A4","85","160951.02","192773.7"
"4","A4","86","162950.12","192698.48"
"4","A4","87","165398.8","192807.81"
"4","A4","88","167895.39","192758.25"
"4","A4","89","170955.12","192846.06"
"4","A4","90","173998.1","193208.61"
"5","A5","1","21019.14","164228.66"
"5","A5","2","21114.176","164602.47"
"5","A5","3","21157.465","165032.69"
"5","A5","4","21117.29","165054.33"
"5","A5","5","21173.633","165040.8"
"5","A5","6","21558.148","165342.72"
"5","A5","7","22049.072","165331.06"
"5","A5","8","22485.496","165366.84"
"5","A5","9","23512.625","165616.89"
"5","A5","10","25372.51","165550.28"
"5","A5","11","28731.416","165523.36"
"5","A5","12","33944.605","165870.95"
"5","A5","13","41732.918","166023.23"
"5","A5","14","52411.348","165975.22"
"5","A5","15","64457.734","166167.27"
"5","A5","16","76450.086","166282.88"
"5","A5","17","87195.74","166494.17"
"5","A5","18","95748.734","166761.08"
"5","A5","19","102229.34","166780.23"
"5","A5","20","106736.59","166958.86"
"5","A5","21","109804.91","167016.69"
"5","A5","22","112070.83","167343.89"
"5","A5","23","113491.71","167422.53"
"5","A5","24","114545.14","167368.31"
"5","A5","25","115385.93","167290.36"
"5","A5","26","115917.58","167276.25"
"5","A5","27","116546.0","167299.11"
"5","A5","28","117045.305","167232.14"
"5","A5","29","117433.15","167458.66"
"5","A5","30","117976.555","167422.94"
"5","A5","31","118346.28","167452.03"
"5","A5","32","118849.82","167349.69"
"5","A5","33","119299.59","167416.47"
"5","A5","34","119618.72","167368.56"
"5","A5","35","120141.71","167408.88"
"5","A5","36","120671.01","167220.77"
"5","A5","37","120823.58","167058.7"
"5","A5","38","121193.52","167239.83"
"5","A5","39","121728.93","167546.86"
"5","A5","40","122145.69","167453.75"
"5","A5","41","122423.74","167299.36"
"5","A5","42","122741.6","167435.25"
"5","A5","43","123119.25","167602.98"
"5","A5","44","123604.336","167681.4"
"5","A5","45","123856.22","167497.1"
"5","A5","46","124338.016","167353.6"
"5","A5","47","124706.89","167513.08"
"5","A5","48","125088.0","167416.11"
"5","A5","49","125312.9","167404.83"
"5","A5","50","125483.914","167658.14"
"5","A5","51","125914.5","167638.1"
"5","A5","52","126189.02","167554.36"
"5","A5","53","126577.42","167538.58"
"5","A5","54","126865.08","167457.55"
"5","A5","55","127376.984","167538.55"
"5","A5","56","127592.33","167558.94"
"5","A5","57","128104.94","167800.5"
"5","A5","58","128369.516","167690.89"
"5","A5","59","128720.23","167600.22"
"5","A5","60","129137.63","167633.31"
"5","A5","61","129449.23","167567.25"
"5","A5","62","129731.44","167513.98"
"5","A5","63","129856.74","167640.6"
"5","A5","64","130325.64","167661.69"
"5","A5","65","130694.12","167518.4"
"5","A5","66","131084.88","167496.47"
"5","A5","67","131594.55","167395.45"
"5","A5","68","131803.12","167583.31"
"5","A5","69","132073.33","167767.78"
"5","A5","70","132483.98","167693.5"
"5","A5","71","133077.34","167754.3"
"5","A5","72","133533.44","167796.66"
"5","A5","73","133963.9","167756.58"
"5","A5","74","134580.73","167771.4"
"5","A5","75","135374.53","167726.03"
"5","A5","76","136370.62","167560.6"
"5","A5","77","137414.3","167604.44"
"5","A5","78","138555.89","167878.2"
"5","A5","79","140408.98","167928.88"
"5","A5","80","142677.88","168077.33"
"5","A5","81","145357.84","167950.05"
"5","A5","82","148468.88","167867.48"
"5","A5","83","152186.03","167870.88"
"5","A5","84","155893.08","168169.75"
"5","A5","85","159888.12","168101.47"
"5","A5","86","164062.02","168041.28"
"5","A5","87","167978.9","168151.62"
"5","A5","88","171873.17","168245.34"
"5","A5","89","175018.31","168243.2"
"5","A5","90","178221.62","168278.27"
"7","A7","1","24603.39","188651.84"
"7","A7","2","24512.055","188367.56"
"7","A7","3","24448.889","188022.2"
"7","A7","4","24440.129","187499.86"
"7","A7","5","24477.918","186995.53"
"7","A7","6","24700.709","186738.2"
"7","A7","7","25071.371","186603.28"
"7","A7","8","25660.078","186389.94"
"7","A7","9","26894.32","186360.53"
"7","A7","10","28792.03","186451.89"
"7","A7","11","32078.139","186515.34"
"7","A7","12","36810.125","186725.4"
"7","A7","13","42755.44","186933.61"
"7","A7","14","49917.293","187164.4"
"7","A7","15","57714.66","187298.25"
"7","A7","16","65718.25","187446.94"
