,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
13410,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,46,0.9311862400598302,1.6220216751098633
13411,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,46,0.05522514343315206,-0.005111290141940117
13412,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,47,0.9411608867168841,1.6378642320632935
13413,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,47,0.05586242208767319,-0.005865707062184811
13414,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,48,0.9511152989832474,1.6536695957183838
13415,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,48,0.05722996929428369,-0.005805418360978365
13416,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,49,0.9638314461636169,1.6745513677597046
13417,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,49,0.05998159940029263,-0.004201011266559362
13418,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,50,0.9782694621671797,1.6985981464385986
13419,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,50,0.060531898707935794,-0.005052465014159679
13440,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,1,-0.010430348077444487,0.0039147911593317986
13441,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,1,-0.0012336605203871677,0.0017790306592360139
13442,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,2,-0.00969587860766428,0.002795285079628229
13443,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,2,-0.0012176457419924066,0.0011955797672271729
13444,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,3,-0.008884784353906562,0.0018166244262829423
13445,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,3,-0.0012279438188417483,0.0005827735876664519
13446,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,4,-0.009011541137896444,-0.0008859217050485313
13447,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,4,-0.00018717021809264815,0.0011425695847719908
13448,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,5,-0.00812122794750857,-0.001718968152999878
13449,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,5,-0.00037057215482197523,0.0003366443270351738
13450,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,6,-0.0064794860143738186,-0.0011707961093634367
13451,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,6,-0.0011271001350382076,-0.0011086747981607914
13452,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,7,-0.003433221194734653,0.0019590617157518864
13453,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,7,-0.0009992490434663542,-0.001567358267493546
13454,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,8,0.001545217160956986,0.008640492334961891
13455,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,8,0.0006787764982452539,-0.0002966279280371964
13456,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,9,0.009864924133255801,0.021463584154844284
13457,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,9,0.001251181275649326,-0.0002593560784589499
13458,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,10,0.02452011935420726,0.04593208432197571
13459,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,10,0.0019820775963663535,-4.5267017412697896e-05
13460,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,11,0.05100612609554259,0.09214706718921661
13461,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,11,0.0023841032968700327,-0.0001980743691092357
13462,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,12,0.09461702623696404,0.16983970999717712
13463,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,12,0.004367531597544285,0.0014133710647001863
13464,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,13,0.15873476795136307,0.2852264642715454
13465,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,13,0.0072663667683477646,0.0040460675954818726
13466,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,14,0.24257940303026782,0.4368736445903778
13467,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,14,0.011261539741837131,0.007901865988969803
13468,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,15,0.33661335089823285,0.6072500944137573
13469,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,15,0.016130580001796253,0.01273257378488779
13470,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,16,0.42935521618373157,0.7752514481544495
13471,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,16,0.022801463147686694,0.01957346312701702
13472,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,17,0.5106660775129813,0.9222412705421448
13473,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,17,0.028199164732803983,0.024993957951664925
13474,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,18,0.575371508297383,1.038708209991455
13475,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,18,0.03195121760926129,0.02857852540910244
13476,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,19,0.6204646261972556,1.1191253662109375
13477,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,19,0.03361333522681263,0.029831508174538612
13478,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,20,0.6537314561304325,1.1778043508529663
13479,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,20,0.035694081021552124,0.03155152499675751
13480,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,21,0.67681370760314,1.21776282787323
13481,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,21,0.03814267251853659,0.03368191793560982
13482,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,22,0.6954145603684028,1.2494839429855347
13483,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,22,0.03921965634799979,0.03428211063146591
13484,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,23,0.7096442010601418,1.2731702327728271
13485,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,23,0.0413558862040002,0.0360640250146389
13486,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,24,0.7212316324213454,1.2919998168945312
13487,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,24,0.042846850051451064,0.03712606430053711
13488,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,25,0.7313973384212665,1.3082160949707031
13489,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,25,0.04336661576158762,0.03710461035370827
13490,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,26,0.7413229555931855,1.323991060256958
13491,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,26,0.044914693197375434,0.03823036700487137
13492,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,27,0.7493807828551997,1.3363327980041504
13493,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,27,0.04471650530594803,0.03740794584155083
13494,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,28,0.7572171343344944,1.3482673168182373
13495,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,28,0.04357735902556805,0.035535767674446106
13496,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,29,0.7675523033564496,1.3647950887680054
13497,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,29,0.046481763973344525,0.03817467764019966
13498,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,30,0.7779123762438703,1.381368637084961
13499,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,30,0.04726177317159077,0.038443561643362045
13500,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,31,0.7867111583572964,1.395072340965271
13501,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,31,0.047711362363223514,0.03834381699562073
13502,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,32,0.7950081016400683,1.407853603363037
13503,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,32,0.04870612185924371,0.038852278143167496
13504,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,33,0.803442470159614,1.4208874702453613
13505,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,33,0.04881367064626174,0.03837094455957413
13506,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,34,0.8110375654422127,1.4323786497116089
13507,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,34,0.048398702226605,0.03730667755007744
13508,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,35,0.817949231208472,1.4426136016845703
13509,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,35,0.0503172700069415,0.038845762610435486
13510,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,36,0.8270439412857485,1.4568612575531006
13511,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,36,0.05059720138775668,0.038556743413209915
13512,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,37,0.8377968985924124,1.4741569757461548
13513,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,37,0.05312152582343864,0.04077162593603134
13514,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,38,0.8472884491717274,1.4891339540481567
13515,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,38,0.054396189986715394,0.04159235581755638
13516,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,39,0.8548580569045138,1.5005782842636108
13517,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,39,0.05309903300707769,0.03954389691352844
13518,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,40,0.8634181769738966,1.513843297958374
13519,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,40,0.05262537489912522,0.03841415420174599
13520,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,41,0.870943489550139,1.525206208229065
13521,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,41,0.052704901163147244,0.037901561707258224
13522,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,42,0.8791249930398681,1.5377752780914307
13523,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,42,0.05402332213544922,0.03877110779285431
