,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,log$_{1}$$_{0}$ S036.5,log$_{1}$$_{0}$ S057.3.2,log$_{1}$$_{0}$ S057.4.2
57,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,29,-0.002692513,-0.000892344,100000000,100,100,8,2,2
58,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,30,0.028740915994228747,-0.043952651,100000000,100,100,8,2,2
59,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,30,-0.003825993,-3.26E-05,100000000,100,100,8,2,2
60,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,31,0.033290574,-0.043439675,100000000,100,100,8,2,2
61,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,31,-0.005909762,0.001680172,100000000,100,100,8,2,2
62,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,32,0.038490671807264586,-0.041927814,100000000,100,100,8,2,2
63,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,32,-0.009041549,0.004333634,100000000,100,100,8,2,2
64,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,33,0.043111687,-0.041305255,100000000,100,100,8,2,2
65,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,33,-0.013762014,0.008413107,100000000,100,100,8,2,2
66,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,34,0.047667575,-0.040782709,100000000,100,100,8,2,2
67,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,34,-0.023501696,0.016997871920466423,100000000,100,100,8,2,2
68,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,35,0.052764256,-0.039429665,100000000,100,100,8,2,2
69,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,35,-0.036513526,0.028519744,100000000,100,100,8,2,2
70,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,36,0.056653171,-0.039931398,100000000,100,100,8,2,2
71,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,36,-0.055769755,0.045646645,100000000,100,100,8,2,2
72,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,37,0.060833916387906264,-0.039984964,100000000,100,100,8,2,2
73,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,37,-0.083758055,0.070611529,100000000,100,100,8,2,2
74,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,38,0.065093762,-0.039917056,100000000,100,100,8,2,2
75,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,38,-0.119221018,0.1022857278585434,100000000,100,100,8,2,2
76,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,39,0.068826359,-0.040658846,100000000,100,100,8,2,2
77,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,39,-0.160280993,0.1389838606119156,100000000,100,100,8,2,2
78,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,40,0.072669223,-0.041231301,100000000,100,100,8,2,2
79,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,40,-0.205269552,0.17920832335948944,100000000,100,100,8,2,2
80,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,41,0.076674439,-0.041554425,100000000,100,100,8,2,2
81,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,41,-0.252309126,0.2212737798690796,100000000,100,100,8,2,2
82,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,42,0.080969759,-0.041432038,100000000,100,100,8,2,2
83,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,42,-0.298136663,0.2622513175010681,100000000,100,100,8,2,2
84,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,43,0.085209771,-0.041394588,100000000,100,100,8,2,2
85,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,43,-0.340398581,0.30002832412719727,100000000,100,100,8,2,2
86,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,44,0.089489469,-0.041296192,100000000,100,100,8,2,2
87,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,44,-0.380723533,0.33606669306755066,100000000,100,100,8,2,2
88,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,45,0.093979453,-0.040874857,100000000,100,100,8,2,2
89,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,45,-0.417189858,0.36864152550697327,100000000,100,100,8,2,2
90,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,46,0.10026290440895749,-0.037699282,100000000,100,100,8,2,2
91,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,46,-0.452077299,0.3997991383075714,100000000,100,100,8,2,2
92,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,47,0.10660690299985062,-0.034430724,100000000,100,100,8,2,2
93,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,47,-0.481753036,0.426278681,100000000,100,100,8,2,2
94,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,48,0.11216525915959795,-0.032368682,100000000,100,100,8,2,2
95,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,48,-0.509295616,0.450843483,100000000,100,100,8,2,2
96,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,49,0.11897921879078002,-0.028378399,100000000,100,100,8,2,2
97,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,49,-0.52953537,0.4688531756401062,100000000,100,100,8,2,2
98,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,50,0.1264101223634836,-0.023440672,100000000,100,100,8,2,2
99,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,50,-0.546664037,0.484070361,100000000,100,100,8,2,2
180,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,1,-0.004361995,0.08796858,100000000,100,100,8,2,2
181,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,1,0.000636551,0.000822727,100000000,100,100,8,2,2
182,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,2,-0.003722346,0.082661368,100000000,100,100,8,2,2
183,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,2,0.000493717,0.000825566,100000000,100,100,8,2,2
184,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,3,-0.002314947,0.078533188,100000000,100,100,8,2,2
185,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,3,0.000216862,0.000948702,100000000,100,100,8,2,2
186,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,4,-0.001438677,0.073589355,100000000,100,100,8,2,2
187,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,4,0.00016281,0.000871849,100000000,100,100,8,2,2
188,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,5,-0.000874518,0.068166211,100000000,100,100,8,2,2
189,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,5,-0.000230118,0.001099174,100000000,100,100,8,2,2
190,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,6,-0.000696155,0.062150598,100000000,100,100,8,2,2
191,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,6,-0.000374098,0.001103041,100000000,100,100,8,2,2
192,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,7,-5.92E-05,0.056839239,100000000,100,100,8,2,2
193,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,7,0.000768828,-4.82E-05,100000000,100,100,8,2,2
194,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,8,0.001085901,0.052308257669210434,100000000,100,100,8,2,2
195,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,8,0.00068413,-9.76E-05,100000000,100,100,8,2,2
196,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,9,0.001878626,0.047236122,100000000,100,100,8,2,2
197,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,9,-0.000799481,0.001108756,100000000,100,100,8,2,2
198,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,10,0.002418974,0.041776411,100000000,100,100,8,2,2
