,Target,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
66,S056.1.9,197.5,25252525.0,5.0,80.0,0.425,-5.499565421957261,0.679073397246035,0.005871473568918012,0.8749120394031037,0.16856238881524094,20.87632697731383
67,S056.2.1,133.5,25252525.0,5.0,80.0,0.3375000000000001,-5.137107573298472,0.651775171701713,0.004289885211121243,0.78967420748859,0.20141203465956684,21.56936832046097
68,S056.2.10,55.5,25252525.0,5.0,500.0,0.418,-3.709502385867574,0.4743567653495925,0.0171751648085531,0.4485351654870523,0.359080541351833,27.31626007920127
69,S056.2.11,57.5,25252525.0,5.0,88.0,0.4318181818181818,-4.076019609991728,0.5638862281350623,0.011198706881270516,0.6706182750045095,0.2611576402548468,20.127682197279615
70,S056.2.12,59.5,25252525.0,5.0,88.0,0.25,-4.550775486158617,0.6146957895636324,0.011396428300701528,0.6958360783797839,0.24387087052607118,21.69949870919403
71,S056.2.2,183.5,25252525.0,5.0,232.0,0.41379310344827586,-3.9280091629748535,1.6895366870881452,0.005341965850468942,0.5920553378534531,0.2982973981779872,21.916133517034357
72,S056.2.3,185.5,25252525.0,5.0,272.0,0.6727941176470589,-3.3530930085599753,1.9462834699287452,0.0077205732581253775,0.45912321336895545,0.3696488589762145,23.996720528531
73,S056.2.4,187.5,25252525.0,5.0,152.0,0.20394736842105263,-4.559440967720055,1.359271428599697,0.004843710680179065,0.6655927739115574,0.256055927854622,22.72275273011132
74,S056.2.5,149.80769230769232,31079246.153846152,5.538461538461538,49.0,0.7551020408163265,-4.382951666206787,0.650968537456606,0.010485116747153325,0.47648202874481616,0.33924919950986043,29.642283423803327
75,S056.2.6,191.5,25252525.0,5.0,152.0,0.5921052631578947,-3.8069153238573863,1.4539772228424426,0.006326374819072559,0.5270210596357195,0.3282331928898919,23.795922323586645
76,S056.2.7,181.5,26936020.0,5.2,84.0,0.7976190476190477,-5.648448089995383,1.0654109799060498,0.008546776667875209,0.7093986663450541,0.22053194204484966,26.48054386015168
77,S056.2.8,195.5,25252525.0,5.0,36.0,0.4444444444444444,-5.224374791297647,0.9162629862222619,0.004221366487511878,0.7978686788193688,0.19819254718904972,21.66934597616783
78,S056.2.9,53.5,25252525.0,5.0,80.0,0.425,-5.0197770434372435,0.5004318795913949,0.006476004037359029,0.7236323041716003,0.22468288720143417,23.04406701801193
