# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Cycle Number","TET","ROX","HEX","SUN"
"5","A5","45","250025.75","153194.88",,
"5","A5","46","251682.25","153291.1",,
"5","A5","47","253305.4","153200.89",,
"5","A5","48","255510.97","153088.25",,
"5","A5","49","257851.31","153085.84",,
"5","A5","50","261000.58","153203.08",,
"5","A5","51","265150.03","153222.62",,
"5","A5","52","270522.25","153130.22",,
"5","A5","53","276465.8","153207.28",,
"5","A5","54","283397.3","153147.48",,
"5","A5","55","291548.22","153237.67",,
"5","A5","56","300344.8","153070.58",,
"5","A5","57","309796.97","153061.39",,
"5","A5","58","319477.1","153190.06",,
"5","A5","59","329459.12","153184.8",,
"5","A5","60","339711.8","153058.7",,
"5","A5","61","350032.38","153088.69",,
"5","A5","62","360059.44","152862.75",,
"5","A5","63","370019.3","152668.94",,
"5","A5","64","380332.75","152750.53",,
"5","A5","65","390234.97","152704.67",,
"5","A5","66","400208.2","152731.3",,
"5","A5","67","409835.78","152573.12",,
"5","A5","68","418684.3","152607.23",,
"5","A5","69","427385.34","152573.86",,
"5","A5","70","436946.16","152364.88",,
"5","A5","71","446657.1","152206.7",,
"5","A5","72","456428.44","152033.77",,
"5","A5","73","464987.94","152138.92",,
"5","A5","74","473067.4","152176.67",,
"5","A5","75","481655.34","152221.84",,
"5","A5","76","490384.8","152341.16",,
"5","A5","77","498388.9","152184.33",,
"5","A5","78","506370.5","152139.33",,
"5","A5","79","514103.06","152122.62",,
"5","A5","80","521743.12","151745.08",,
"5","A5","81","529506.0","151241.72",,
"5","A5","82","537562.75","150650.14",,
"5","A5","83","546276.3","149844.88",,
"5","A5","84","555000.1","149045.16",,
"5","A5","85","564560.0","148134.98",,
"5","A5","86","572844.1","147682.2",,
"5","A5","87","582080.8","147528.8",,
"5","A5","88","589776.9","147327.5",,
"5","A5","89","597110.4","146751.48",,
"5","A5","90","603709.5","146609.0",,
"6","A6","1","87765.44","171589.38",,
"6","A6","2","87468.836","170890.86",,
"6","A6","3","86946.484","169163.39",,
"6","A6","4","86365.3","167146.25",,
"6","A6","5","86046.56","164760.94",,
"6","A6","6","86122.914","162858.03",,
"6","A6","7","87054.06","161634.88",,
"6","A6","8","89694.81","161085.0",,
"6","A6","9","94816.86","160838.3",,
"6","A6","10","102454.61","160636.27",,
"6","A6","11","113062.48","160314.58",,
"6","A6","12","126315.945","160173.03",,
"6","A6","13","141482.92","159907.11",,
"6","A6","14","157070.16","159723.17",,
"6","A6","15","172372.88","159448.94",,
