# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"98","E2","false","10000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.2843309967785443","","","24.242622417836046","0.9209660950512971","23.98001508397836","0.37138285312028707","true","0.17000934761381004","true","3","18","65.89485931396484","74.21923828125","",""
"100","E4","false","10000.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","25.12000048464862","0.964005166901034","25.463077252143822","0.4851838175270418","true","0.2247059681631393","true","3","19","69.72671508789062","","",""
"101","E5","false","10000.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","25.806154019639024","0.9788321129959041","25.463077252143822","0.4851838175270418","true","0.2247059681631393","true","3","20","69.5945816040039","","",""
"103","E7","false","10000.0","BP160_GC60","STANDARD","SYBR","None","Amp","1.3364660901561962","","","24.902400156642564","0.8582257824570343","24.851365515667737","0.07217388141867193","true","0.2638810773869539","true","3","18","83.20429229736328","","",""
"104","E8","false","10000.0","BP160_GC60","STANDARD","SYBR","None","Amp","1.3315880030317526","","","24.80033087469291","0.711631815033915","24.851365515667737","0.07217388141867193","true","0.2638810773869539","true","3","18","83.20429229736328","","",""
"106","E10","false","10000.0","BP160_GC80","STANDARD","SYBR","None","Amp","1.2333626877439445","","","32.6981988477265","0.8932754500953467","32.80022144726805","0.14428174394164706","true","0.10380432188788172","true","3","28","75.40843963623047","","",""
"107","E11","false","10000.0","BP160_GC80","STANDARD","SYBR","None","Amp","0.0","","","32.9022440468096","0.8827937383222535","32.80022144726805","0.14428174394164706","true","0.10380432188788172","true","3","28","75.14417266845703","","",""
"109","E13","false","10000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.3789177856202608","","","30.92365314997243","0.5964997929751357","31.320834222476588","0.5616988594531452","true","0.1405856919812463","true","3","25","87.03746795654297","","",""
"110","E14","false","10000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.3745693679876563","","","31.718015294980745","0.6217227973570754","31.320834222476588","0.5616988594531452","true","0.1405856919812463","true","3","26","86.6409912109375","","",""
"112","E16","false","10000.0","BP280_GC30","STANDARD","SYBR","None","Amp","1.404056428661584","","","25.772814765267483","0.9480839145765467","25.772814765267483","","true","0.30112860742619285","true","3","19","74.4824447631836","","",""
"113","E17","false","10000.0","BP280_GC30","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.30112860742619285","true","3","89","87.69825744628906","90.34142303466797","83.99783325195312","71.57496643066406"
"115","E19","false","10000.0","BP500_GC40","STANDARD","SYBR","None","Amp","1.4208576953820666","","","28.842383955996617","0.9517184142153523","28.842383955996617","","true","0.4036370650066456","true","3","22","78.05071258544922","","",""
"116","E20","false","10000.0","BP500_GC40","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.4036370650066456","true","3","89","71.70712280273438","","",""
"121","F1","false","1000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.2893561303600147","","","26.671290791835695","0.9209505724532653","27.053659619000864","0.5407511812058824","true","0.17000934761381004","true","3","21","66.15911865234375","","",""
"122","F2","false","1000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.2842538704451374","","","27.436028446166034","0.9341822311455026","27.053659619000864","0.5407511812058824","true","0.17000934761381004","true","3","22","65.89485931396484","71.04804992675781","",""
"124","F4","false","1000.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","27.638483914003444","0.9778019776739751","28.022946807243954","0.5437126378499072","true","0.2247059681631393","true","3","22","69.72671508789062","","",""
"125","F5","false","1000.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","28.407409700484465","0.9719964629574318","28.022946807243954","0.5437126378499072","true","0.2247059681631393","true","3","23","69.46244812011719","","",""
"127","F7","false","1000.0","BP160_GC60","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.2638810773869539","true","3","77","83.20429229736328","","",""
"128","F8","false","1000.0","BP160_GC60","STANDARD","SYBR","None","Amp","1.3275573011719128","","","27.17366588530497","0.8360328616792653","27.17366588530497","","true","0.2638810773869539","true","3","21","83.07215881347656","","",""
"130","F10","false","1000.0","BP160_GC80","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.10380432188788172","true","3","89","71.44444274902344","","",""
"131","F11","false","1000.0","BP160_GC80","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.10380432188788172","true","3","89","71.18017578125","","",""
"133","F13","false","1000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.3721837459696618","","","34.28811969399352","0.644205810847474","34.98540818723814","0.9861148440332399","true","0.1405856919812463","true","3","28","86.77315521240234","","",""
"134","F14","false","1000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.376808090538739","","","35.68269668048276","0.6613211799885519","34.98540818723814","0.9861148440332399","true","0.1405856919812463","true","3","30","86.37667846679688","","",""
"136","F16","false","1000.0","BP280_GC30","STANDARD","SYBR","None","Amp","1.4099280205457376","","","28.165847178431832","0.9661862669381398","28.165847178431832","","true","0.30112860742619285","true","3","22","74.08596801757812","","",""
"137","F17","false","1000.0","BP280_GC30","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.30112860742619285","true","3","89","71.83927917480469","","",""
"139","F19","false","1000.0","BP500_GC40","STANDARD","SYBR","None","Amp","1.4158816473211984","","","31.995703222921573","0.9597704590809689","31.995703222921573","","true","0.4036370650066456","true","3","24","78.05071258544922","","",""
"140","F20","false","1000.0","BP500_GC40","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.4036370650066456","true","3","89","88.4912109375","78.31503295898438","67.47805786132812","70.38554382324219"
"145","G1","false","100.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.2890630059957189","","","28.51816812734137","0.9104784882328677","28.915874950091744","0.5624423825818486","true","0.17000934761381004","true","3","23","66.15911865234375","","",""
"146","G2","false","100.0","BP160_GC10","STANDARD","SYBR","None","Amp","0.0","","","29.31358177284212","0.9487241478100249","28.915874950091744","0.5624423825818486","true","0.17000934761381004","true","3","24","66.291259765625","","",""
"148","G4","false","100.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","29.00625669605561","0.9660280759081018","29.616637639692538","0.8632090087054576","true","0.2247059681631393","true","3","23","69.72671508789062","","",""
"149","G5","false","100.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","30.227018583329468","0.970525698967759","29.616637639692538","0.8632090087054576","true","0.2247059681631393","true","3","24","69.46244812011719","","",""
"151","G7","false","100.0","BP160_GC60","STANDARD","SYBR","None","Amp","1.3353898749345459","","","26.92142109834063","0.9479227394668589","27.564853404216542","0.9099506934387427","true","0.2638810773869539","true","3","21","83.20429229736328","","",""
"152","G8","false","100.0","BP160_GC60","STANDARD","SYBR","None","Amp","1.3296443186826978","","","28.208285710092454","0.9490211963822851","27.564853404216542","0.9099506934387427","true","0.2638810773869539","true","3","22","83.07215881347656","","",""
"154","G10","false","100.0","BP160_GC80","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.10380432188788172","true","3","89","80.29736328125","71.31230926513672","",""
"155","G11","false","100.0","BP160_GC80","STANDARD","SYBR","None","Amp","1.3206021874351472","","","63.98220746375364","0.8184343909364259","63.98220746375364","","true","0.10380432188788172","true","3","58","86.77188110351562","","",""
"157","G13","false","100.0","BP280_GC70","STANDARD","SYBR","None","Inconclusive","1.262664986064428","","","32.48827927621133","0.8800491476258832","33.36318844491132","1.2373084122201652","true","0.1405856919812463","true","3","27","74.6146011352539","87.03746795654297","",""
