Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
6,TET_BHQ1,2,158,G14,JG076E_158,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
7,TET_BHQ1,2,159,G15,JG076E_159,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,BHQ1,None
9,TET_BHQ1,2,160,G16,JG076E_160,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,BHQ1,None
1,SUN_Z_IBFQ,2,161,G17,JG076E_161,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,2,162,G18,JG076E_162,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,2,163,G19,JG076E_163,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,2,164,G20,JG076E_164,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,2,165,G21,JG076E_165,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,2,166,G22,JG076E_166,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,2,167,G23,JG076E_167,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,2,168,G24,JG076E_168,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,TET_Z_IBFQ,1,169,H1,JG076E_169,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,1,170,H2,JG076E_170,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,1,171,H3,JG076E_171,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,1,172,H4,JG076E_172,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,1,173,H5,JG076E_173,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,1,174,H6,JG076E_174,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,1,175,H7,JG076E_175,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,1,176,H8,JG076E_176,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,1,177,H9,JG076E_177,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,1,178,H10,JG076E_178,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,1,179,H11,JG076E_179,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,1,180,H12,JG076E_180,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
5,TET_BHQ1,1,181,H13,JG076E_181,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
6,TET_BHQ1,1,182,H14,JG076E_182,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
7,TET_BHQ1,1,183,H15,JG076E_183,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,BHQ1,None
9,TET_BHQ1,1,184,H16,JG076E_184,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,BHQ1,None
1,SUN_Z_IBFQ,1,185,H17,JG076E_185,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,1,186,H18,JG076E_186,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
