# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Cycle Number","SYBR","ROX"
"4","A4","47","342286.84","151554.89"
"4","A4","48","342834.4","151647.2"
"4","A4","49","342801.34","151663.39"
"4","A4","50","342971.66","151588.08"
"4","A4","51","343273.4","151611.9"
"4","A4","52","342983.25","151697.66"
"4","A4","53","343231.9","151785.64"
"4","A4","54","343597.2","151908.97"
"4","A4","55","343688.25","151894.95"
"4","A4","56","343582.78","152000.56"
"4","A4","57","344091.7","151781.08"
"4","A4","58","344211.84","151690.47"
"4","A4","59","344429.34","151890.12"
"4","A4","60","344454.6","151893.61"
"4","A4","61","344422.28","151854.05"
"4","A4","62","344384.47","152020.4"
"4","A4","63","344562.88","151958.61"
"4","A4","64","344998.1","151852.55"
"4","A4","65","345582.47","151808.58"
"4","A4","66","346455.28","152028.62"
"4","A4","67","346672.1","152057.0"
"4","A4","68","347318.97","152052.38"
"4","A4","69","348309.66","152103.48"
"4","A4","70","350236.88","152031.67"
"4","A4","71","353139.22","152021.28"
"4","A4","72","356388.47","151988.84"
"4","A4","73","361368.16","152215.25"
"4","A4","74","367991.44","152356.8"
"4","A4","75","377741.6","152308.0"
"4","A4","76","390575.8","152215.62"
"4","A4","77","406726.72","152290.39"
"4","A4","78","426105.9","152352.02"
"4","A4","79","450695.75","152532.38"
"4","A4","80","478401.12","152509.17"
"4","A4","81","507032.53","152662.89"
"4","A4","82","536517.94","152768.81"
"4","A4","83","565585.25","152774.28"
"4","A4","84","594249.25","152949.45"
"4","A4","85","620819.25","152915.81"
"4","A4","86","646563.06","153044.03"
"4","A4","87","671544.06","153170.94"
"4","A4","88","695357.44","153109.95"
"4","A4","89","717795.0","153021.44"
"4","A4","90","734995.25","153126.38"
"4","A4","91","751946.0","153766.6"
"4","A4","92","746536.4","153750.36"
"4","A4","93","741178.94","153794.33"
"4","A4","94","735591.44","153734.58"
"4","A4","95","732293.3","153796.44"
"4","A4","96","725512.75","153992.84"
"4","A4","97","721121.94","153965.92"
"4","A4","98","715773.5","153844.83"
"4","A4","99","709473.44","154156.25"
"4","A4","100","703813.94","154191.94"
"4","A4","101","699086.7","154370.44"
"4","A4","102","692614.06","154273.16"
"4","A4","103","686985.8","154134.66"
"4","A4","104","680833.0","154194.38"
"4","A4","105","673857.4","154217.03"
"4","A4","106","667509.6","154229.78"
"4","A4","107","659404.0","154470.27"
"4","A4","108","652866.5","154690.66"
"4","A4","109","646370.0","154442.31"
"4","A4","110","638072.56","154548.12"
"4","A4","111","629479.94","154858.58"
"4","A4","112","620110.7","154740.34"
"4","A4","113","612777.06","154825.1"
"4","A4","114","601098.4","154758.6"
"4","A4","115","592446.06","154789.47"
"4","A4","116","583336.94","154953.05"
"4","A4","117","572626.5","154794.89"
"4","A4","118","563572.06","154778.78"
"4","A4","119","550815.5","154810.88"
"4","A4","120","541793.2","155374.53"
"4","A4","121","528671.7","154942.23"
"4","A4","122","516264.9","154771.52"
"4","A4","123","503752.34","154825.58"
"4","A4","124","489981.66","154876.27"
"4","A4","125","474200.53","154939.58"
"4","A4","126","457393.7","155221.28"
"4","A4","127","438447.28","154989.98"
"4","A4","128","418393.03","155411.92"
"4","A4","129","396264.5","154924.25"
"4","A4","130","376084.62","154978.53"
"4","A4","131","355147.7","154993.42"
"4","A4","132","335159.8","154849.72"
"4","A4","133","316074.22","155066.48"
"4","A4","134","298142.06","154717.97"
"4","A4","135","281497.25","154915.8"
"4","A4","136","266910.44","154790.58"
"4","A4","137","252643.12","154716.02"
"4","A4","138","240497.44","155054.61"
"4","A4","139","229676.06","154601.53"
"4","A4","140","218078.66","154796.69"
"4","A4","141","208198.31","154889.78"
"4","A4","142","198296.39","154825.06"
"4","A4","143","188598.58","154618.69"
"4","A4","144","179651.78","154505.56"
"4","A4","145","171220.22","154458.06"
"4","A4","146","162809.45","154284.0"
"4","A4","147","155518.6","154479.81"
"4","A4","148","147698.66","154361.08"
"4","A4","149","140020.45","154303.5"
"4","A4","150","132754.2","154164.34"
"4","A4","151","125687.84","154066.94"
"4","A4","152","118530.15","154201.05"
"4","A4","153","111147.664","154064.05"
"4","A4","154","103725.88","154351.64"
"4","A4","155","96593.41","154007.5"
"4","A4","156","89131.94","154237.2"
"4","A4","157","82148.71","153778.33"
"4","A4","158","75441.79","153873.12"
"4","A4","159","68544.51","153797.92"
"4","A4","160","62108.047","153756.77"
"4","A4","161","56375.81","153734.8"
"4","A4","162","51157.684","153622.77"
"4","A4","163","47301.9","153741.6"
"4","A4","164","44168.652","153341.2"
"4","A4","165","42446.16","153246.69"
"4","A4","166","40695.32","153272.47"
"4","A4","167","39327.332","153218.83"
"4","A4","168","37840.22","153152.38"
"4","A4","169","36568.562","153020.95"
"4","A4","170","35125.117","153117.64"
"4","A4","171","34187.438","153059.95"
"4","A4","172","33313.73","152876.8"
"4","A4","173","32380.69","152945.48"
"4","A4","174","31734.287","152839.03"
"4","A4","175","31320.164","152617.53"
"4","A4","176","30533.834","152451.77"
"4","A4","177","30222.125","152586.75"
"4","A4","178","29580.521","152424.17"
"4","A4","179","29649.2","152642.53"
"4","A4","180","29052.3","152168.42"
"4","A4","181","28520.205","152208.47"
"4","A4","182","28232.023","152049.81"
"4","A4","183","27969.1","151879.3"
"4","A4","184","27717.514","152000.44"
"4","A4","185","27196.701","151841.66"
"4","A4","186","27178.94","151817.02"
