,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.0,S057.0.1,S057.1.2,log$_{1}$$_{0}$ S036.0,log$_{1}$$_{0}$ S057.0.1,log$_{1}$$_{0}$ S057.1.2
184,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,3,-0.006242449,-0.00227468,100000000,100,100,8,2,2
185,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,3,0.001514469,0.001057611,100000000,100,100,8,2,2
186,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,4,-0.004370003,-0.000434427,100000000,100,100,8,2,2
187,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,4,0.001779369,0.000204237,100000000,100,100,8,2,2
188,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,5,-0.002707807,0.00122576,100000000,100,100,8,2,2
189,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,5,0.000501569,0.000582443,100000000,100,100,8,2,2
190,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,6,0.000326892,0.004061411,100000000,100,100,8,2,2
191,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,6,-0.000515419,0.000752436,100000000,100,100,8,2,2
192,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,7,0.001642292,0.005424588,100000000,100,100,8,2,2
193,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,7,-0.000184909,-0.000153316,100000000,100,100,8,2,2
194,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,8,0.002667163,0.006538946,100000000,100,100,8,2,2
195,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,8,-0.000535297,-0.000515489,100000000,100,100,8,2,2
196,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,9,0.003528031,0.007512846,100000000,100,100,8,2,2
197,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,9,-0.001047832,-0.000748215,100000000,100,100,8,2,2
198,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,10,0.005155882,0.009143618,100000000,100,100,8,2,2
199,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,10,-0.001511949,-0.001019595,100000000,100,100,8,2,2
200,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,11,0.006106702,0.010194556787610054,100000000,100,100,8,2,2
201,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,11,-0.001964512,-0.001300198,100000000,100,100,8,2,2
202,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,12,0.005430786,0.009852296,100000000,100,100,8,2,2
203,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,12,-0.001935599,-0.001965177,100000000,100,100,8,2,2
204,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,13,0.007228973,0.011628950946033001,100000000,100,100,8,2,2
205,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,13,-0.00361997,-0.001262394,100000000,100,100,8,2,2
206,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,14,0.007649855,0.012226029299199581,100000000,100,100,8,2,2
207,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,14,-0.006642935,0.000509027,100000000,100,100,8,2,2
