,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Task,Comments,CT,Reaction,WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,WellName,Sample,Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
186,JG075F,94,FAM,#NAME?,FALSE,D22,0,FAM,UNKNOWN,,29.90333,186,4,5,0.3162277660168379,D22,JG075F_094,L-MMMMx,50,-0.272700954,0.16288667917251587,0.5367859478484729
188,JG075F,95,FAM,#NAME?,FALSE,D23,0,FAM,UNKNOWN,,inf,188,4,6,0.3162277660168379,D23,JG075F_095,L-MMMMx,50,-0.1400911,0.003197891,0.6845408198362282
190,JG075F,96,FAM,#NAME?,FALSE,D24,0,FAM,UNKNOWN,,inf,190,4,7,0.3162277660168379,D24,JG075F_096,L-MMMMx,50,-0.004200066,-0.002533986,0.8739087571952975
192,JG075F,97,FAM,#NAME?,FALSE,E1,0,FAM,UNKNOWN,,29.66749,192,5,-2,0,E1,JG075F_097,L-MMMMx,50,-0.261921486,0.1743398904800415,0.4940429544397505
194,JG075F,98,FAM,#NAME?,FALSE,E2,0,FAM,UNKNOWN,,30.24132,194,5,1,0,E2,JG075F_098,L-MMMMx,50,-0.223425167,0.13745197653770447,0.5575916656235083
196,JG075F,99,FAM,#NAME?,FALSE,E3,0,FAM,UNKNOWN,,30.268497,196,5,2,0,E3,JG075F_099,L-MMMMx,50,-0.230325615,0.1396530270576477,0.5479083505665983
198,JG075F,100,FAM,#NAME?,FALSE,E4,0,FAM,UNKNOWN,,29.889912,198,5,3,0,E4,JG075F_100,L-MMMMx,50,-0.262643053,0.15568344295024872,0.5274673268623896
200,JG075F,101,FAM,#NAME?,FALSE,E5,0,FAM,UNKNOWN,,30.416582,200,5,4,0,E5,JG075F_101,L-MMMMx,50,-0.232609844,0.13909085094928741,0.5817019994267315
202,JG075F,102,FAM,#NAME?,FALSE,E6,0,FAM,UNKNOWN,,31.028664,202,5,5,0,E6,JG075F_102,L-MMMMx,50,-0.21616989,0.12033878266811371,0.6051214800597059
204,JG075F,103,FAM,#NAME?,FALSE,E7,0,FAM,UNKNOWN,,inf,204,5,6,0,E7,JG075F_103,L-MMMMx,50,-0.113326847,0.001828316,0.7637873476127554
206,JG075F,104,FAM,#NAME?,FALSE,E8,0,FAM,UNKNOWN,,inf,206,5,7,0,E8,JG075F_104,L-MMMMx,50,-0.014294652,-0.00281942,0.9057954557579616
208,JG075F,105,FAM,#NAME?,FALSE,E9,0,FAM,UNKNOWN,,29.835323,208,5,-2,0.1,E9,JG075F_105,L-MMMMx,50,-0.306724361,0.1810840368270874,0.5108271306826274
210,JG075F,106,FAM,#NAME?,FALSE,E10,0,FAM,UNKNOWN,,29.66309,210,5,1,0.1,E10,JG075F_106,L-MMMMx,50,-0.305076002,0.17686495184898376,0.5180051321313277
212,JG075F,107,FAM,#NAME?,FALSE,E11,0,FAM,UNKNOWN,,29.871376,212,5,2,0.1,E11,JG075F_107,L-MMMMx,50,-0.289939486,0.17650899291038513,0.52622344
214,JG075F,108,FAM,#NAME?,FALSE,E12,0,FAM,UNKNOWN,,30.07121,214,5,3,0.1,E12,JG075F_108,L-MMMMx,50,-0.28758025,0.16958263516426086,0.5217966756580772
216,JG075F,109,FAM,#NAME?,FALSE,E13,0,FAM,UNKNOWN,,29.863232,216,5,4,0.1,E13,JG075F_109,L-MMMMx,50,-0.293633835,0.17491942644119263,0.5156742846961373
218,JG075F,110,FAM,#NAME?,FALSE,E14,0,FAM,UNKNOWN,,30.649427,218,5,5,0.1,E14,JG075F_110,L-MMMMx,50,-0.239259496,0.13626497983932495,0.5979191024439403
220,JG075F,111,FAM,#NAME?,FALSE,E15,0,FAM,UNKNOWN,,inf,220,5,6,0.1,E15,JG075F_111,L-MMMMx,50,-0.138900445,0.002896237,0.7251784077629898
222,JG075F,112,FAM,#NAME?,FALSE,E16,0,FAM,UNKNOWN,,inf,222,5,7,0.1,E16,JG075F_112,L-MMMMx,50,-0.043940664,-0.002561314,0.8587044329269385
224,JG075F,113,FAM,#NAME?,FALSE,E17,0,FAM,UNKNOWN,,29.281975,224,5,-2,0.3162277660168379,E17,JG075F_113,L-MMMMx,50,-0.40614208,0.23435932397842407,0.3666328512957714
226,JG075F,114,FAM,#NAME?,FALSE,E18,0,FAM,UNKNOWN,,29.442549,226,5,1,0.3162277660168379,E18,JG075F_114,L-MMMMx,50,-0.399575353,0.22503317892551422,0.3709274580013513
228,JG075F,115,FAM,#NAME?,FALSE,E19,0,FAM,UNKNOWN,,29.290352,228,5,2,0.3162277660168379,E19,JG075F_115,L-MMMMx,50,-0.397248278,0.23626980185508728,0.38843951618393385
230,JG075F,116,FAM,#NAME?,FALSE,E20,0,FAM,UNKNOWN,,29.183325,230,5,3,0.3162277660168379,E20,JG075F_116,L-MMMMx,50,-0.389493729,0.24578817188739777,0.37604390470672927
232,JG075F,117,FAM,#NAME?,FALSE,E21,0,FAM,UNKNOWN,,29.264584,232,5,4,0.3162277660168379,E21,JG075F_117,L-MMMMx,50,-0.365263028,0.22249267995357513,0.3929778702409786
234,JG075F,118,FAM,#NAME?,FALSE,E22,0,FAM,UNKNOWN,,30.511126,234,5,5,0.3162277660168379,E22,JG075F_118,L-MMMMx,50,-0.251449586,0.15455739200115204,0.5452809140448249
236,JG075F,119,FAM,#NAME?,FALSE,E23,0,FAM,UNKNOWN,,inf,236,5,6,0.3162277660168379,E23,JG075F_119,L-MMMMx,50,-0.115021839,0.003665386,0.7310165913139917
238,JG075F,120,FAM,#NAME?,FALSE,E24,0,FAM,UNKNOWN,,inf,238,5,7,0.3162277660168379,E24,JG075F_120,L-MMMMx,50,-0.002750507,-0.00223293,0.8477523271274344
240,JG075F,121,FAM,#NAME?,FALSE,F1,0,FAM,UNKNOWN,,inf,240,6,-2,0,F1,JG075F_121,L-MMMMx,50,-0.081149255,0.001130606,0.7664934900553824
242,JG075F,122,FAM,#NAME?,FALSE,F2,0,FAM,UNKNOWN,,inf,242,6,1,0,F2,JG075F_122,L-MMMMx,50,-0.0946793,0.001649551,0.7564716265516006
244,JG075F,123,FAM,#NAME?,FALSE,F3,0,FAM,UNKNOWN,,inf,244,6,2,0,F3,JG075F_123,L-MMMMx,50,-0.098879757,0.003251419,0.780910862
246,JG075F,124,FAM,#NAME?,FALSE,F4,0,FAM,UNKNOWN,,inf,246,6,3,0,F4,JG075F_124,L-MMMMx,50,-0.102669932,0.001056448,0.7690678909652804
248,JG075F,125,FAM,#NAME?,FALSE,F5,0,FAM,UNKNOWN,,inf,248,6,4,0,F5,JG075F_125,L-MMMMx,50,-0.084210085,0.001557404,0.7864840939204717
250,JG075F,126,FAM,#NAME?,FALSE,F6,0,FAM,UNKNOWN,,inf,250,6,5,0,F6,JG075F_126,L-MMMMx,50,-0.089042023,0.002000516,0.7686791371646594
252,JG075F,127,FAM,#NAME?,FALSE,F7,0,FAM,UNKNOWN,,inf,252,6,6,0,F7,JG075F_127,L-MMMMx,50,-0.075100315,0.000910684,0.8023353476963583
254,JG075F,128,FAM,#NAME?,FALSE,F8,0,FAM,UNKNOWN,,inf,254,6,7,0,F8,JG075F_128,L-MMMMx,50,-0.019380198,-0.002564131,0.8909365648983282
256,JG075F,129,FAM,#NAME?,FALSE,F9,0,FAM,UNKNOWN,,inf,256,6,-2,0.1,F9,JG075F_129,L-MMMMx,50,-0.141082717,0.002407955,0.7250830102602092
258,JG075F,130,FAM,#NAME?,FALSE,F10,0,FAM,UNKNOWN,,inf,258,6,1,0.1,F10,JG075F_130,L-MMMMx,50,-0.117898731,0.002361412,0.7638582856061404
260,JG075F,131,FAM,#NAME?,FALSE,F11,0,FAM,UNKNOWN,,inf,260,6,2,0.1,F11,JG075F_131,L-MMMMx,50,-0.131009382,0.004793894,0.755502821
262,JG075F,132,FAM,#NAME?,FALSE,F12,0,FAM,UNKNOWN,,inf,262,6,3,0.1,F12,JG075F_132,L-MMMMx,50,-0.145343181,0.00528627,0.7202685022772031
264,JG075F,133,FAM,#NAME?,FALSE,F13,0,FAM,UNKNOWN,,inf,264,6,4,0.1,F13,JG075F_133,L-MMMMx,50,-0.140382837,0.003129037,0.7254831425408383
266,JG075F,134,FAM,#NAME?,FALSE,F14,0,FAM,UNKNOWN,,inf,266,6,5,0.1,F14,JG075F_134,L-MMMMx,50,-0.126043179,0.002861671,0.7444542418341298
268,JG075F,135,FAM,#NAME?,FALSE,F15,0,FAM,UNKNOWN,,inf,268,6,6,0.1,F15,JG075F_135,L-MMMMx,50,-0.085721663,0.000777121,0.8219817407560969
