,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,Configuration,WellName,lg10_Blocker,Cycle,Fluorescence,Corr_Fluorescence
23406,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,4,-0.0022146593577927033,0.005591658875346184
23407,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,4,-0.00012991377305591784,0.0014838706701993942
23408,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,5,-0.001594385424901284,0.005663151387125254
23409,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,5,0.0005776879718590784,0.0004981165402568877
23410,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,6,-0.00033628990515707324,0.006228065583854914
23411,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,6,0.0006164606702105849,8.505876030540094e-05
23412,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,7,0.0006903152684754338,0.0066138980910182
23413,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,7,7.515690799172769e-05,0.00016870140098035336
23414,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,8,0.0014911701628244356,0.006825088988989592
23415,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,8,5.958169927332624e-05,-0.00019782004528678954
23416,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,9,0.0020796811084685426,0.006872009020298719
23417,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,9,-0.00011995956145041434,-0.0004239427507854998
23418,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,10,0.0023644307994794694,0.006683938205242157
23419,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,10,-0.001059553605164304,7.427680657201563e-07
23420,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,11,0.003551507438701642,0.007193912286311388
23421,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,11,-0.0010591185434682595,-0.00037948775570839643
23422,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,12,0.00392025857749033,0.007070824969559908
23423,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,12,-0.001044378653206264,-0.0007719669956713915
23424,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,13,0.004435959279474741,0.007061419077217579
23425,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,13,-0.0010013945576370442,-0.0011886308202520013
23426,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,14,0.004493706663202723,0.006697738077491522
23427,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,14,-0.0016849634944625293,-0.0009831712814047933
23428,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,15,0.00556284226487772,0.007116472348570824
23429,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,15,-0.002531680567304789,-0.0006380132399499416
23430,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,16,0.006923064745437728,0.007760392501950264
23431,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,16,-0.0023618150787010836,-0.0011633214307948947
23432,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,17,0.007061519780206485,0.007459147367626429
23433,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,17,-0.002303116554670728,-0.001593441003933549
