col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,Well,WellName,Sample,MasterMix
0,6,RNA,100,3.0,5.91,145,G1,JG073N_145,TaqMan Fast Virus
1,6,RNA,100,3.0,5.573333333333333,146,G2,JG073N_146,TaqMan Fast Virus
2,6,RNA,100,3.0,5.236666666666666,147,G3,JG073N_147,TaqMan Fast Virus
3,6,RNA,100,3.0,4.9,148,G4,JG073N_148,TaqMan Fast Virus
4,6,RNA,100,3.0,4.5633333333333335,149,G5,JG073N_149,TaqMan Fast Virus
5,6,RNA,100,3.0,4.226666666666667,150,G6,JG073N_150,TaqMan Fast Virus
6,6,RNA,100,3.0,3.8900000000000006,151,G7,JG073N_151,TaqMan Fast Virus
7,6,RNA,100,3.0,,152,G8,JG073N_152,TaqMan Fast Virus
8,6,RNA,10,2.0,4.91,153,G9,JG073N_153,TaqMan Fast Virus
9,6,RNA,10,2.0,4.573333333333333,154,G10,JG073N_154,TaqMan Fast Virus
10,6,RNA,10,2.0,4.236666666666666,155,G11,JG073N_155,TaqMan Fast Virus
11,6,RNA,10,2.0,3.9000000000000004,156,G12,JG073N_156,TaqMan Fast Virus
12,6,RNA,10,2.0,3.5633333333333335,157,G13,JG073N_157,TaqMan Fast Virus
13,6,RNA,10,2.0,3.2266666666666666,158,G14,JG073N_158,TaqMan Fast Virus
14,6,RNA,10,2.0,2.8900000000000006,159,G15,JG073N_159,TaqMan Fast Virus
15,6,RNA,10,2.0,,160,G16,JG073N_160,TaqMan Fast Virus
16,6,RNA,1,1.0,3.91,161,G17,JG073N_161,TaqMan Fast Virus
17,6,RNA,1,1.0,3.5733333333333333,162,G18,JG073N_162,TaqMan Fast Virus
18,6,RNA,1,1.0,3.2366666666666664,163,G19,JG073N_163,TaqMan Fast Virus
19,6,RNA,1,1.0,2.9000000000000004,164,G20,JG073N_164,TaqMan Fast Virus
20,6,RNA,1,1.0,2.5633333333333335,165,G21,JG073N_165,TaqMan Fast Virus
21,6,RNA,1,1.0,2.2266666666666666,166,G22,JG073N_166,TaqMan Fast Virus
22,6,RNA,1,1.0,1.8900000000000001,167,G23,JG073N_167,TaqMan Fast Virus
23,6,RNA,1,1.0,,168,G24,JG073N_168,TaqMan Fast Virus
0,7,RNA,100,,5.91,169,H1,JG073N_169,TaqMan Fast Virus
1,7,RNA,100,,5.573333333333333,170,H2,JG073N_170,TaqMan Fast Virus
2,7,RNA,100,,5.236666666666666,171,H3,JG073N_171,TaqMan Fast Virus
3,7,RNA,100,,4.9,172,H4,JG073N_172,TaqMan Fast Virus
4,7,RNA,100,,4.5633333333333335,173,H5,JG073N_173,TaqMan Fast Virus
5,7,RNA,100,,4.226666666666667,174,H6,JG073N_174,TaqMan Fast Virus
6,7,RNA,100,,3.8900000000000006,175,H7,JG073N_175,TaqMan Fast Virus
7,7,RNA,100,,,176,H8,JG073N_176,TaqMan Fast Virus
8,7,RNA,10,,4.91,177,H9,JG073N_177,TaqMan Fast Virus
9,7,RNA,10,,4.573333333333333,178,H10,JG073N_178,TaqMan Fast Virus
10,7,RNA,10,,4.236666666666666,179,H11,JG073N_179,TaqMan Fast Virus
11,7,RNA,10,,3.9000000000000004,180,H12,JG073N_180,TaqMan Fast Virus
12,7,RNA,10,,3.5633333333333335,181,H13,JG073N_181,TaqMan Fast Virus
13,7,RNA,10,,3.2266666666666666,182,H14,JG073N_182,TaqMan Fast Virus
14,7,RNA,10,,2.8900000000000006,183,H15,JG073N_183,TaqMan Fast Virus
15,7,RNA,10,,,184,H16,JG073N_184,TaqMan Fast Virus
16,7,RNA,1,,3.91,185,H17,JG073N_185,TaqMan Fast Virus
17,7,RNA,1,,3.5733333333333333,186,H18,JG073N_186,TaqMan Fast Virus
18,7,RNA,1,,3.2366666666666664,187,H19,JG073N_187,TaqMan Fast Virus
19,7,RNA,1,,2.9000000000000004,188,H20,JG073N_188,TaqMan Fast Virus
20,7,RNA,1,,2.5633333333333335,189,H21,JG073N_189,TaqMan Fast Virus
21,7,RNA,1,,2.2266666666666666,190,H22,JG073N_190,TaqMan Fast Virus
22,7,RNA,1,,1.8900000000000001,191,H23,JG073N_191,TaqMan Fast Virus
23,7,RNA,1,,,192,H24,JG073N_192,TaqMan Fast Virus
0,8,DNA,100,7.0,5.91,193,I1,JG073N_193,TaqMan Fast Virus
1,8,DNA,100,7.0,5.573333333333333,194,I2,JG073N_194,TaqMan Fast Virus
2,8,DNA,100,7.0,5.236666666666666,195,I3,JG073N_195,TaqMan Fast Virus
3,8,DNA,100,7.0,4.9,196,I4,JG073N_196,TaqMan Fast Virus
4,8,DNA,100,7.0,4.5633333333333335,197,I5,JG073N_197,TaqMan Fast Virus
5,8,DNA,100,7.0,4.226666666666667,198,I6,JG073N_198,TaqMan Fast Virus
6,8,DNA,100,7.0,3.8900000000000006,199,I7,JG073N_199,TaqMan Fast Virus
7,8,DNA,100,7.0,,200,I8,JG073N_200,TaqMan Fast Virus
8,8,DNA,10,6.0,4.91,201,I9,JG073N_201,TaqMan Fast Virus
9,8,DNA,10,6.0,4.573333333333333,202,I10,JG073N_202,TaqMan Fast Virus
10,8,DNA,10,6.0,4.236666666666666,203,I11,JG073N_203,TaqMan Fast Virus
11,8,DNA,10,6.0,3.9000000000000004,204,I12,JG073N_204,TaqMan Fast Virus
12,8,DNA,10,6.0,3.5633333333333335,205,I13,JG073N_205,TaqMan Fast Virus
13,8,DNA,10,6.0,3.2266666666666666,206,I14,JG073N_206,TaqMan Fast Virus
14,8,DNA,10,6.0,2.8900000000000006,207,I15,JG073N_207,TaqMan Fast Virus
15,8,DNA,10,6.0,,208,I16,JG073N_208,TaqMan Fast Virus
16,8,DNA,1,5.0,3.91,209,I17,JG073N_209,TaqMan Fast Virus
17,8,DNA,1,5.0,3.5733333333333333,210,I18,JG073N_210,TaqMan Fast Virus
18,8,DNA,1,5.0,3.2366666666666664,211,I19,JG073N_211,TaqMan Fast Virus
19,8,DNA,1,5.0,2.9000000000000004,212,I20,JG073N_212,TaqMan Fast Virus
20,8,DNA,1,5.0,2.5633333333333335,213,I21,JG073N_213,TaqMan Fast Virus
21,8,DNA,1,5.0,2.2266666666666666,214,I22,JG073N_214,TaqMan Fast Virus
22,8,DNA,1,5.0,1.8900000000000001,215,I23,JG073N_215,TaqMan Fast Virus
23,8,DNA,1,5.0,,216,I24,JG073N_216,TaqMan Fast Virus
0,9,DNA,100,6.333333333333332,5.91,217,J1,JG073N_217,TaqMan Fast Virus
1,9,DNA,100,6.333333333333332,5.573333333333333,218,J2,JG073N_218,TaqMan Fast Virus
2,9,DNA,100,6.333333333333332,5.236666666666666,219,J3,JG073N_219,TaqMan Fast Virus
3,9,DNA,100,6.333333333333332,4.9,220,J4,JG073N_220,TaqMan Fast Virus
4,9,DNA,100,6.333333333333332,4.5633333333333335,221,J5,JG073N_221,TaqMan Fast Virus
5,9,DNA,100,6.333333333333332,4.226666666666667,222,J6,JG073N_222,TaqMan Fast Virus
6,9,DNA,100,6.333333333333332,3.8900000000000006,223,J7,JG073N_223,TaqMan Fast Virus
7,9,DNA,100,6.333333333333332,,224,J8,JG073N_224,TaqMan Fast Virus
8,9,DNA,10,5.333333333333333,4.91,225,J9,JG073N_225,TaqMan Fast Virus
9,9,DNA,10,5.333333333333333,4.573333333333333,226,J10,JG073N_226,TaqMan Fast Virus
10,9,DNA,10,5.333333333333333,4.236666666666666,227,J11,JG073N_227,TaqMan Fast Virus
11,9,DNA,10,5.333333333333333,3.9000000000000004,228,J12,JG073N_228,TaqMan Fast Virus
12,9,DNA,10,5.333333333333333,3.5633333333333335,229,J13,JG073N_229,TaqMan Fast Virus
13,9,DNA,10,5.333333333333333,3.2266666666666666,230,J14,JG073N_230,TaqMan Fast Virus
14,9,DNA,10,5.333333333333333,2.8900000000000006,231,J15,JG073N_231,TaqMan Fast Virus
15,9,DNA,10,5.333333333333333,,232,J16,JG073N_232,TaqMan Fast Virus
16,9,DNA,1,4.333333333333333,3.91,233,J17,JG073N_233,TaqMan Fast Virus
17,9,DNA,1,4.333333333333333,3.5733333333333333,234,J18,JG073N_234,TaqMan Fast Virus
18,9,DNA,1,4.333333333333333,3.2366666666666664,235,J19,JG073N_235,TaqMan Fast Virus
19,9,DNA,1,4.333333333333333,2.9000000000000004,236,J20,JG073N_236,TaqMan Fast Virus
20,9,DNA,1,4.333333333333333,2.5633333333333335,237,J21,JG073N_237,TaqMan Fast Virus
21,9,DNA,1,4.333333333333333,2.2266666666666666,238,J22,JG073N_238,TaqMan Fast Virus
