,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
95,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,48,-0.93194429,1.712688923,100000000,100,100,8,2,2
96,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,49,0.023904608855215732,-0.028656712,100000000,100,100,8,2,2
97,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,49,-0.946775036,1.7390553951263428,100000000,100,100,8,2,2
98,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,50,0.02557585,-0.027890518,100000000,100,100,8,2,2
99,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,50,-0.960434516,1.7631487846374512,100000000,100,100,8,2,2
180,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,1,-0.001657956,-0.000347172,100000000,100,10000,8,2,4
181,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,1,0.006403037,0.006158205,100000000,100,10000,8,2,4
182,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,2,-0.001805126,-0.001365403,100000000,100,10000,8,2,4
183,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,2,0.006222522,0.003954019,100000000,100,10000,8,2,4
184,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,3,-0.001644228,-0.001626595,100000000,100,10000,8,2,4
185,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,3,0.006193652,0.001455536,100000000,100,10000,8,2,4
186,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,4,-0.00115672,-0.00108518,100000000,100,10000,8,2,4
187,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,4,0.005841437,-0.00041543,100000000,100,10000,8,2,4
188,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,5,-0.000111024,0.000827916,100000000,100,10000,8,2,4
189,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,5,0.004846325,-0.001038722,100000000,100,10000,8,2,4
190,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,6,0.000386137,0.001393053,100000000,100,10000,8,2,4
191,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,6,0.003567964,-0.00111231,100000000,100,10000,8,2,4
192,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,7,0.000562025,0.001168697,100000000,100,10000,8,2,4
193,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,7,0.001820326,-0.000275169,100000000,100,10000,8,2,4
194,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,8,0.000672678,0.000784034,100000000,100,10000,8,2,4
195,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,8,-0.000351964,0.001386096,100000000,100,10000,8,2,4
196,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,9,0.000690796,0.00017198,100000000,100,10000,8,2,4
197,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,9,-0.005970097,0.009734734,100000000,100,10000,8,2,4
198,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,10,0.000600336,-0.000706895,100000000,100,10000,8,2,4
199,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,10,-0.015947643,0.026543714106082916,100000000,100,10000,8,2,4
200,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,11,0.001194022,9.543870692141354e-05,100000000,100,10000,8,2,4
