,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
221,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,21,-0.265025981,0.516829789
222,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,22,0.3463485009131599,0.7794824242591858
223,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,22,-0.272174507,0.530246377
224,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,23,0.36442817854551857,0.8195565342903137
225,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,23,-0.27938886,0.5437926054000854
226,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,24,0.3804005828122769,0.8547158241271973
227,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,24,-0.286063157,0.5562752485275269
228,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,25,0.39422804367194736,0.884872556
229,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,25,-0.290927981,0.5651942491531372
230,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,26,0.4074185894882311,0.9135438203811646
231,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,26,-0.296726883,0.5759528875350952
232,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,27,0.41983196708088166,0.9404025077819824
