,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
146,JG074D,74,FAM,#NAME?,FALSE,D2,0,FAM,JG074D.074,UNKNOWN,,16.443453,146,50,0.2519963595963021,0.5362392663955688,3162277,100,10000,6.4999999093351235,2,4,-0.473473773
148,JG074D,75,FAM,#NAME?,FALSE,D3,0,FAM,JG074D.075,UNKNOWN,,17.502834,148,50,0.21308625582485882,0.4079352915287018,3162277,100,100000,6.4999999093351235,2,5,-0.652056949
150,JG074D,76,FAM,#NAME?,FALSE,D4,0,FAM,JG074D.076,UNKNOWN,,16.279453,150,50,0.37108583377907933,0.825600266,3162277,100,1000000,6.4999999093351235,2,6,-0.404481453
152,JG074D,77,FAM,#NAME?,FALSE,D5,0,FAM,JG074D.077,UNKNOWN,,12.140042,152,50,0.5567136337130317,1.2693533897399902,3162277,100,100000000,6.4999999093351235,2,8,0.019711950262836897
154,JG074D,78,FAM,#NAME?,FALSE,D6,0,FAM,JG074D.078,UNKNOWN,,18.509712,154,50,0.1931735255634559,0.3975121080875397,3162277,10000,100,6.4999999093351235,4,2,-0.609999887
156,JG074D,79,FAM,#NAME?,FALSE,D7,0,FAM,JG074D.079,UNKNOWN,,16.115154,156,50,0.2624658409340683,0.5656517148017883,3162277,10000,10000,6.4999999093351235,4,4,-0.484750173
158,JG074D,80,FAM,#NAME?,FALSE,D8,0,FAM,JG074D.080,UNKNOWN,,16.42988,158,50,0.2846562770849136,0.6102516055107117,3162277,10000,100000,6.4999999093351235,4,5,-0.525882559
160,JG074D,81,FAM,#NAME?,FALSE,D9,0,FAM,JG074D.081,UNKNOWN,,16.215586,160,50,0.4059848684425523,0.9150941371917725,3162277,10000,1000000,6.4999999093351235,4,6,-0.421944985
162,JG074D,82,FAM,#NAME?,FALSE,D10,0,FAM,JG074D.082,UNKNOWN,,12.180637,162,50,0.5921595229900655,1.3256384134292603,3162277,10000,100000000,6.4999999093351235,4,8,0.030706684
164,JG074D,83,FAM,#NAME?,FALSE,D11,0,FAM,JG074D.083,UNKNOWN,,17.273256,164,50,0.22938196452679468,0.4777717888355255,3162277,100000,100,6.4999999093351235,5,2,-0.57187862
166,JG074D,84,FAM,#NAME?,FALSE,D12,0,FAM,JG074D.084,UNKNOWN,,15.89293,166,50,0.27161903097411594,0.5771666765213013,3162277,100000,10000,6.4999999093351235,5,4,-0.500646088
168,JG074D,85,FAM,#NAME?,FALSE,D13,0,FAM,JG074D.085,UNKNOWN,,15.948597,168,50,0.2894691319078978,0.6233363747596741,3162277,100000,100000,6.4999999093351235,5,5,-0.501218949
170,JG074D,86,FAM,#NAME?,FALSE,D14,0,FAM,JG074D.086,UNKNOWN,,15.685338,170,50,0.40496375238716226,0.9158494472503662,3162277,100000,1000000,6.4999999093351235,5,6,-0.40681433
172,JG074D,87,FAM,#NAME?,FALSE,D15,0,FAM,JG074D.087,UNKNOWN,,12.055369,172,50,0.6301019103317761,1.4337855577468872,3162277,100000,100000000,6.4999999093351235,5,8,0.092100817
174,JG074D,88,FAM,#NAME?,FALSE,D16,0,FAM,JG074D.088,UNKNOWN,,13.706286,174,50,0.3483405812024959,0.748262882,3162277,1000000,100,6.4999999093351235,6,2,-0.371889135
176,JG074D,89,FAM,#NAME?,FALSE,D17,0,FAM,JG074D.089,UNKNOWN,,14.018626,176,50,0.34213141219919324,0.7293976545333862,3162277,1000000,10000,6.4999999093351235,6,4,-0.380315852
178,JG074D,90,FAM,#NAME?,FALSE,D18,0,FAM,JG074D.090,UNKNOWN,,14.114098,178,50,0.3554709388481449,0.773905337,3162277,1000000,100000,6.4999999093351235,6,5,-0.400960284
180,JG074D,91,FAM,#NAME?,FALSE,D19,0,FAM,JG074D.091,UNKNOWN,,14.099641,180,50,0.47474010409772294,1.068436861038208,3162277,1000000,1000000,6.4999999093351235,6,6,-0.294577716
182,JG074D,92,FAM,#NAME?,FALSE,D20,0,FAM,JG074D.092,UNKNOWN,,11.694658,182,50,0.7257123414936334,1.6764315366744995,3162277,1000000,100000000,6.4999999093351235,6,8,0.2768857263445534
184,JG074D,93,FAM,#NAME?,FALSE,D21,0,FAM,JG074D.093,UNKNOWN,,7.600862,184,50,0.4693829566304431,1.1929806470870972,3162277,100000000,100,6.4999999093351235,8,2,-0.132242438
186,JG074D,94,FAM,#NAME?,FALSE,D22,0,FAM,JG074D.094,UNKNOWN,,7.6684766,186,50,0.4592565578443035,1.166774034500122,3162277,100000000,10000,6.4999999093351235,8,4,-0.165403001
188,JG074D,95,FAM,#NAME?,FALSE,D23,0,FAM,JG074D.095,UNKNOWN,,7.5304966,188,50,0.4960417067009105,1.2591776847839355,3162277,100000000,100000,6.4999999093351235,8,5,-0.102044754
190,JG074D,96,FAM,#NAME?,FALSE,D24,0,FAM,JG074D.096,UNKNOWN,,7.6302915,190,50,0.6358572317856299,1.6012781858444214,3162277,100000000,1000000,6.4999999093351235,8,6,-0.018983232
192,JG074D,97,FAM,#NAME?,FALSE,E1,0,FAM,JG074D.097,UNKNOWN,,18.044262,192,50,0.24724619873836232,0.5404437780380249,1000000,100,100,6,2,2,-0.449924178
194,JG074D,98,FAM,#NAME?,FALSE,E2,0,FAM,JG074D.098,UNKNOWN,,16.32217,194,50,0.2880227092470547,0.6239469647407532,1000000,100,10000,6,2,4,-0.391211676
196,JG074D,99,FAM,#NAME?,FALSE,E3,0,FAM,JG074D.099,UNKNOWN,,16.72119,196,50,0.32693199440109966,0.7268072962760925,1000000,100,100000,6,2,5,-0.360950939
198,JG074D,100,FAM,#NAME?,FALSE,E4,0,FAM,JG074D.100,UNKNOWN,,16.169722,198,50,0.5188978258445119,1.1909352540969849,1000000,100,1000000,6,2,6,-0.218509558
200,JG074D,101,FAM,#NAME?,FALSE,E5,0,FAM,JG074D.101,UNKNOWN,,12.159639,200,50,0.5965517630980554,1.3623050451278687,1000000,100,100000000,6,2,8,0.18235148108380578
