,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
424,JG074C,222,FAM,#NAME?,FALSE,J6,0,FAM,JG074C.222,UNKNOWN,,17.836414,442,3162,10000,100,3.499961866,4,2,50,0.8628901023179918,1.916654109954834,0.7291608597911707
426,JG074C,223,FAM,#NAME?,FALSE,J7,0,FAM,JG074C.223,UNKNOWN,,15.810945,444,3162,10000,10000,3.499961866,4,4,50,0.5952732803060627,1.2818682193756104,0.17861940154049516
428,JG074C,224,FAM,#NAME?,FALSE,J8,0,FAM,JG074C.224,UNKNOWN,,16.194366,446,3162,10000,100000,3.499961866,4,5,50,0.5015237806512329,1.082321047782898,0.092474545
430,JG074C,225,FAM,#NAME?,FALSE,J9,0,FAM,JG074C.225,UNKNOWN,,16.273754,448,3162,10000,1000000,3.499961866,4,6,50,0.48260621613186305,1.0184829235076904,0.034407875
432,JG074C,226,FAM,#NAME?,FALSE,J10,0,FAM,JG074C.226,UNKNOWN,,20.54739,450,3162,10000,100000000,3.499961866,4,8,50,0.42552613311210064,1.0113484859466553,-0.174190056
434,JG074C,227,FAM,#NAME?,FALSE,J11,0,FAM,JG074C.227,UNKNOWN,,17.539877,452,3162,100000,100,3.499961866,5,2,50,0.8350558070547631,1.8611948490142822,0.6780081972303311
436,JG074C,228,FAM,#NAME?,FALSE,J12,0,FAM,JG074C.228,UNKNOWN,,15.70039,454,3162,100000,10000,3.499961866,5,4,50,0.5834637414669785,1.2683287858963013,0.15013065334608217
438,JG074C,229,FAM,#NAME?,FALSE,J13,0,FAM,JG074C.229,UNKNOWN,,16.398296,456,3162,100000,100000,3.499961866,5,5,50,0.503784082,1.0688046216964722,0.058397451
440,JG074C,230,FAM,#NAME?,FALSE,J14,0,FAM,JG074C.230,UNKNOWN,,16.353474,458,3162,100000,1000000,3.499961866,5,6,50,0.5011582499531201,1.0678293704986572,0.042661468
442,JG074C,231,FAM,#NAME?,FALSE,J15,0,FAM,JG074C.231,UNKNOWN,,19.97957,460,3162,100000,100000000,3.499961866,5,8,50,0.4481952433905721,0.9958249926567078,-0.105930649
444,JG074C,232,FAM,#NAME?,FALSE,J16,0,FAM,JG074C.232,UNKNOWN,,15.49642,462,3162,1000000,100,3.499961866,6,2,50,0.8583420326041364,1.9058643579483032,0.659465716
