,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
171,S057.5.4,FP003-RP008,EVAGREEN,201.5,25252525.0,5.0,62.0,0.3064516129032258,-5.28474932965821,0.8743618415418318,0.0018069736479169687,0.7644239849684706,0.20867123211724475,22.951509586913385
172,S057.5.4,FP003-RP008,HEX,201.5,25252525.0,5.0,62.0,0.3064516129032258,-5.772653981157128,0.6002265591501375,0.02659545415938385,0.8731416837198832,0.16631067008930964,22.00434149385945
173,S057.6.0,FP003-RP008x,EVAGREEN,313.5,33670000.0,6.0,85.0,0.29411764705882354,-4.104117724519471,1.1146695924833872,0.0013891963448816678,0.598735557457561,0.2876327619397712,22.60138151025879
174,S057.6.2,FP003-RP008x,EVAGREEN,315.5,33670000.0,6.0,33.0,0.39393939393939387,-3.975190070742211,0.8193785106108561,0.0013409505502029444,0.597720236801672,0.2906951118038938,21.94831406005713
175,S057.6.4,FP003-RP008x,EVAGREEN,317.5,33670000.0,6.0,62.0,0.3064516129032258,-3.87266096272095,1.128752690759739,0.001460125090352026,0.6000475221705753,0.2926176991610054,21.35230554913072
176,S057.8.0,FP057.1.0-RP003x,EVAGREEN,327.5,33670000.0,6.0,85.0,0.29411764705882354,-4.441587347772224,1.717457031188486,0.00016078826656093612,0.8096145462533042,0.2042062187033139,18.228191049868173
177,S057.8.0,FP057.1.0-RP003x,HEX,339.5,25252525.0,5.0,85.0,0.29411764705882354,-5.506604790242445,0.6621616602121733,0.03227809316708139,0.8627721905128013,0.17240101959505852,21.194306012020874
178,S057.8.2,FP057.1.0-RP003x,HEX,341.5,25252525.0,5.0,33.0,0.3939393939393939,-5.43770893166445,0.6767323908092966,0.02509414879833793,0.8920449848271781,0.16323183006682934,20.278125592160247
179,S057.8.4,FP057.1.0-RP003x,HEX,343.5,25252525.0,5.0,62.0,0.3064516129032258,-5.440276031467705,0.6768696591134202,0.024168975811966892,0.878433183923865,0.16781385022218398,20.600284902027425
180,S057.9.0,FP004-RP004,FAM,345.5,25252525.0,5.0,500.0,0.418,-4.285019353107612,0.5081696791274124,0.01737156248239189,0.48215623693405363,0.3298452916509968,29.22031828640996
181,S057.9.1,FP004-RP004,FAM,347.5,25252525.0,5.0,88.0,0.25,-5.753756220937184,0.6326528380363029,0.014257469015352395,0.8588869834258086,0.17124515918763977,22.314537623499337
182,S067_0d89c8_a_Avg_0,FP005-RP008x,HEX,88.0,15873014.285714285,5.0,94.0,0.40425531914893614,-5.409624448800571,0.790535610866517,0.010659319857863834,0.6361754383454725,0.24623002029231564,28.296370475786233
183,S067_0d89c8_a_Avg_1,FP005-RP008x,HEX,108.0,13888888.75,4.5,78.0,0.32051282051282054,-6.404458064288843,0.7133791137573027,0.009990228401086586,0.6969928009770383,0.22161530763261303,31.195622268142422
184,S067_0d89c8_a_Avg_2,FP005-RP008x,HEX,85.0,13888888.75,4.5,66.0,0.36363636363636365,-5.138055391973751,0.7689912115132929,0.011641359358213501,0.7681031379504082,0.20588486469769443,22.26359214987756
185,S067_0d89c8_a_Avg_3,FP005-RP008x,HEX,49.0,22222000.0,6.0,59.0,0.47457627118644063,-4.5506914780598375,0.6919135617674004,0.010901306620773663,0.6957054864153799,0.24082701692993785,21.690300972153974
186,S067_0d89c8_a_LVM_0,FP005-RP008x,HEX,280.0,15873014.285714285,5.0,59.0,0.4915254237288136,-4.48677262831823,0.7502160461716983,0.010611219822205064,0.6384846123170712,0.2622401951871719,23.37619703227043
187,S067_0d89c8_a_LVM_1,FP005-RP008x,HEX,300.0,13888888.75,4.5,293.0,0.22184300341296928,-6.233567451975409,0.6698706102836702,0.010538459769613089,0.5618293466213591,0.27110731845573754,37.42593410286675
188,S067_0d89c8_a_LVM_2,FP005-RP008x,HEX,277.0,13888888.75,4.5,127.0,0.3464566929133858,-5.148365467962519,0.7144913519891166,0.011936717021213123,0.6992172594079735,0.22966737747771393,24.47441420946918
189,S067_0d89c8_a_LVM_3,FP005-RP008x,HEX,241.0,22222000.0,6.0,40.0,0.325,-5.084013678251351,0.6920178094795567,0.012241243784610775,0.7392114623427639,0.21764460500352087,22.821209635323676
190,S067_0d89c8_b_Avg_0,FP001-FP005,EVAGREEN,89.0,15873014.285714285,5.0,45.0,0.4666666666666667,-6.632823273451039,0.35014805938484767,0.001147374660842103,0.7343987236209061,0.19991712305213769,29.928567325428222
191,S067_0d89c8_b_Avg_1,FP001-FP005,EVAGREEN,93.0,13888888.75,4.5,51.0,0.27450980392156865,-6.481435587389393,0.34886343820400695,0.0009480052611916206,0.8494613041180945,0.1682856003181717,25.14345511122128
192,S067_0d89c8_b_Avg_2,FP001-FP005,EVAGREEN,86.0,13888888.75,4.5,60.0,0.23333333333333334,-5.9575569299000914,0.397111038924704,0.0006011539259003303,0.8916296442279874,0.15764975523994448,22.181300784763824
193,S067_0d89c8_b_Avg_3,FP001-FP005,EVAGREEN,50.0,22222000.0,6.0,65.0,0.24615384615384617,-5.552937342265618,0.46059475126723104,0.001091671717077358,0.9110568351007757,0.1552666696329771,20.250510053702122
194,S067_0d89c8_b_LVM_0,FP001-FP005,EVAGREEN,266.6,22202200.0,5.6,45.0,0.22222222222222224,-6.908701442414795,0.3294907391802281,0.0011118858355153743,0.9026969087623176,0.14604454908648404,25.40752252509474
195,S067_0d89c8_b_LVM_2,FP001-FP005,EVAGREEN,278.0,13888888.75,4.5,28.0,0.39285714285714285,-6.340241689419055,0.31277820068164636,0.0002055616986122787,0.8682547125704949,0.1615399560467892,24.237333396248765
196,S067_0d89c8_b_LVM_3,FP001-FP005,EVAGREEN,242.0,22222000.0,6.0,40.0,0.45,-5.109295787378864,0.40038593977388715,0.0006976490529223129,0.7667796869849921,0.20713992233656192,22.17695967043968
197,S067_0d89c8_c_Avg_1,FP002-RP001x,FAM,104.0,13888888.75,4.5,194.0,0.5412371134020618,-4.6967849859505275,0.6321975597085249,0.016439210848636844,0.5516844816449155,0.297765125728777,29.164970637577177
198,S067_0d89c8_c_Avg_3,FP002-RP001x,FAM,51.0,22222000.0,6.0,235.0,0.5957446808510638,-4.136033207736213,0.45656217207820565,0.05420866913170321,0.6152364184777932,0.27707958357163553,22.430105266991244
199,S067_0d89c8_c_LVM_0,FP002-RP001x,FAM,282.0,15873014.285714285,5.0,375.0,0.3466666666666667,-5.21509946519131,0.6282543119252734,0.019450349023514835,0.6944610245386217,0.2297564825933335,24.96536120962018
200,S067_0d89c8_c_LVM_1,FP002-RP001x,FAM,285.8,22200022.0,4.8,575.0,0.3443478260869565,-5.704137305920433,0.6726696092994322,0.016362192044168992,0.5582490416682167,0.2786918557011543,35.347219971340905
201,S067_0d89c8_c_LVM_2,FP002-RP001x,FAM,279.0,13888888.75,4.5,70.0,0.37142857142857144,-5.815062900907315,0.6905860902779392,0.02274419989446605,0.8954457652492581,0.1574792578716744,21.596413352473395
