,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
301,4.428571,199,0.226131,-5.027517,0.566642,0.000651,0.800982,,,,,,,,,
302,6.25,137,0.218978,-5.556029,0.483657,0.000461,0.930942,,,,,,,,,
334,5,45,0.444444,-7.615523,0.279525,0.000306,0.870462,,,,,,,,,
335,4.5,60,0.25,-6.906199,0.234189,0.000157,0.999303,,,,,,,,,
336,6,65,0.246154,-6.047337,0.246378,0.000244,0.956381,,,,,,,,,
337,5.333333,87,0.241379,-6.948128,0.377082,0.001446,0.771778,,,,,,,,,
338,4.5,190,0.221053,-6.97361,0.461137,0.001008,0.808985,,,,,,,,,
339,4.5,206,0.223301,-5.481816,0.474888,0.000259,0.835048,,,,,,,,,
340,6,49,0.510204,-5.266441,0.2549,0.000328,0.776445,,,,,,,,,
,,,,,,,,,,,,,,,,
,_,_,,,,,,,,,,,,,,
89,0.151731,20.243834,,,,,,,,,,,,,,
94,0.25166,19.45471,,,,,,,,,,,,,,
96,0.340395,28.478773,,,,,,,,,,,,,,
98,0.176256,30.707436,,,,,,,,,,,,,,
100,0.226041,30.701569,,,,,,,,,,,,,,
102,0.305601,21.4963,,,,,,,,,,,,,,
104,0.177424,25.183434,,,,,,,,,,,,,,
106,0.142213,21.803504,,,,,,,,,,,,,,
108,0.174752,19.921358,,,,,,,,,,,,,,
217,0.166301,29.076713,,,,,,,,,,,,,,
218,0.285673,26.543627,,,,,,,,,,,,,,
219,0.127533,20.292553,,,,,,,,,,,,,,
220,0.136572,29.506156,,,,,,,,,,,,,,
221,0.199198,26.370319,,,,,,,,,,,,,,
222,0.175668,23.775414,,,,,,,,,,,,,,
223,0.151422,21.124083,,,,,,,,,,,,,,
