# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Cycle Number","EVAGREEN","ROX"
"6","A6","63","789472.6","148688.16"
"6","A6","64","811771.3","148733.97"
"6","A6","65","832081.06","148626.58"
"6","A6","66","849858.75","148810.61"
"6","A6","67","867560.44","149039.0"
"6","A6","68","885016.2","149040.27"
"6","A6","69","901768.25","148911.75"
"6","A6","70","918679.8","148912.89"
"6","A6","71","934285.44","149037.7"
"6","A6","72","947195.3","149244.2"
"6","A6","73","959792.06","149280.86"
"6","A6","74","973346.56","149108.88"
"6","A6","75","984168.44","148839.88"
"6","A6","76","991625.0","147942.72"
"6","A6","77","997502.75","147220.86"
"6","A6","78","1001615.3","146709.38"
"6","A6","79","1007962.2","146279.77"
"6","A6","80","1020304.25","146071.33"
"6","A6","81","1034650.6","145932.38"
"6","A6","82","1046340.9","145740.2"
"6","A6","83","1057661.6","145423.73"
"6","A6","84","1067665.6","145185.31"
"6","A6","85","1075536.0","145008.98"
"6","A6","86","1085890.0","144966.08"
"6","A6","87","1093534.9","144972.69"
"6","A6","88","1101208.8","144946.95"
"6","A6","89","1107618.9","145004.53"
"6","A6","90","1112296.0","145283.56"
"7","A7","1","54421.652","145046.06"
"7","A7","2","54389.15","144207.06"
"7","A7","3","54415.9","142866.9"
"7","A7","4","54703.863","142155.19"
"7","A7","5","55378.35","141724.53"
"7","A7","6","56635.293","141206.53"
"7","A7","7","58704.242","140986.27"
"7","A7","8","61772.934","140972.66"
"7","A7","9","66604.42","141102.8"
"7","A7","10","74559.36","141057.47"
"7","A7","11","86718.36","140943.75"
"7","A7","12","104253.33","140911.33"
"7","A7","13","127197.92","140874.05"
"7","A7","14","154443.02","141035.7"
"7","A7","15","183589.0","140953.23"
"7","A7","16","211423.12","140878.06"
"7","A7","17","236422.94","141087.61"
"7","A7","18","258064.53","141235.48"
"7","A7","19","275756.16","141263.34"
"7","A7","20","288688.22","141312.44"
"7","A7","21","297926.47","141364.88"
"7","A7","22","305104.66","141473.73"
"7","A7","23","310352.78","141398.52"
"7","A7","24","314400.38","141309.25"
"7","A7","25","316998.56","141431.42"
"7","A7","26","318891.78","141373.19"
"7","A7","27","320747.53","141374.97"
"7","A7","28","322159.12","141272.33"
"7","A7","29","323464.97","141252.67"
"7","A7","30","325176.88","141409.61"
"7","A7","31","325891.7","141781.78"
"7","A7","32","326873.53","141926.17"
"7","A7","33","327695.8","141821.89"
"7","A7","34","328292.94","141701.8"
"7","A7","35","329269.03","141559.53"
"7","A7","36","329857.6","141542.38"
"7","A7","37","330394.75","141688.19"
"7","A7","38","331255.66","141849.31"
"7","A7","39","331976.34","141855.97"
"7","A7","40","332824.7","141911.25"
"7","A7","41","334102.62","141848.31"
"7","A7","42","335592.1","141857.48"
"7","A7","43","337681.66","141837.73"
"7","A7","44","340694.5","141767.31"
"7","A7","45","345373.78","141858.19"
"7","A7","46","352209.56","142061.56"
"7","A7","47","362584.62","142086.48"
"7","A7","48","378149.8","142022.83"
"7","A7","49","399767.1","142099.83"
