# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076F_FP004-RP004x_Set_II.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 01:29:11 PM EDT
# Run End Date/Time: 2022-07-20 03:24:46 PM EDT
# Run Duration: 115 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:12:51 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:13:20 PM EDT
"Well","Well Position","Cycle Number","TAMRA","FAM","ROX","CY3","CY5"
"5","A5","50",,"195500.86","154946.11",,
"5","A5","51",,"198511.77","154963.0",,
"5","A5","52",,"202639.69","155027.89",,
"5","A5","53",,"207199.77","155143.42",,
"5","A5","54",,"212448.08","155188.83",,
"5","A5","55",,"218409.31","155217.33",,
"5","A5","56",,"224895.33","155346.94",,
"5","A5","57",,"231078.78","155318.4",,
"5","A5","58",,"237937.78","155294.23",,
"5","A5","59",,"245016.86","155367.4",,
"5","A5","60",,"251731.78","155356.86",,
"5","A5","61",,"258081.66","155475.95",,
"5","A5","62",,"264378.72","155534.48",,
"5","A5","63",,"270669.22","155628.64",,
"5","A5","64",,"277739.25","155549.8",,
"5","A5","65",,"284407.34","155357.67",,
"5","A5","66",,"290067.2","155314.77",,
"5","A5","67",,"296093.06","155427.34",,
"5","A5","68",,"301942.62","155458.92",,
"5","A5","69",,"307401.5","155383.92",,
"5","A5","70",,"312906.97","155490.1",,
"5","A5","71",,"318666.97","155625.4",,
"5","A5","72",,"323745.97","155620.22",,
"5","A5","73",,"328704.5","155717.25",,
"5","A5","74",,"333054.03","155660.73",,
"5","A5","75",,"337902.56","155674.6",,
"5","A5","76",,"342599.8","155655.6",,
"5","A5","77",,"346936.2","155579.4",,
"5","A5","78",,"351299.8","155465.05",,
"5","A5","79",,"355274.6","155552.94",,
"5","A5","80",,"358768.4","155054.11",,
"5","A5","81",,"362590.0","154552.61",,
"5","A5","82",,"367189.5","153908.2",,
"5","A5","83",,"371424.88","153218.36",,
"5","A5","84",,"374568.8","152476.12",,
"5","A5","85",,"377379.53","152124.16",,
"5","A5","86",,"381033.94","151822.86",,
"5","A5","87",,"384158.7","151486.69",,
"5","A5","88",,"387443.44","151376.77",,
"5","A5","89",,"390423.38","151343.77",,
"5","A5","90",,"392003.38","151335.16",,
"6","A6","1",,"46035.625","160483.19",,
"6","A6","2",,"46095.58","160366.48",,
"6","A6","3",,"46291.914","160258.05",,
"6","A6","4",,"46459.12","160036.23",,
"6","A6","5",,"46834.75","159843.89",,
"6","A6","6",,"47570.164","159779.55",,
"6","A6","7",,"49122.973","159686.19",,
"6","A6","8",,"51645.508","159564.52",,
"6","A6","9",,"55768.797","159514.6",,
"6","A6","10",,"62129.035","159452.62",,
"6","A6","11",,"70908.39","159406.83",,
"6","A6","12",,"81571.89","159334.77",,
"6","A6","13",,"93830.97","159344.7",,
"6","A6","14",,"106384.8","159250.62",,
"6","A6","15",,"118617.28","159331.83",,
"6","A6","16",,"130174.164","159567.66",,
"6","A6","17",,"140510.31","159412.36",,
"6","A6","18",,"149721.7","159326.52",,
"6","A6","19",,"157668.67","159348.44",,
"6","A6","20",,"164266.1","159352.05",,
"6","A6","21",,"169754.72","159464.97",,
"6","A6","22",,"174573.89","159443.5",,
"6","A6","23",,"178441.39","159285.78",,
"6","A6","24",,"181597.55","159348.88",,
"6","A6","25",,"184277.38","159339.84",,
"6","A6","26",,"186367.28","159452.39",,
"6","A6","27",,"187941.98","159510.38",,
"6","A6","28",,"189470.45","159612.12",,
"6","A6","29",,"190623.34","159579.83",,
"6","A6","30",,"191750.48","159625.5",,
"6","A6","31",,"192818.11","159451.94",,
"6","A6","32",,"193692.58","159438.89",,
"6","A6","33",,"194453.58","159449.39",,
"6","A6","34",,"195080.4","159473.81",,
"6","A6","35",,"196056.44","159512.22",,
"6","A6","36",,"196855.42","159437.95",,
"6","A6","37",,"197374.39","159381.7",,
"6","A6","38",,"198192.94","159309.27",,
"6","A6","39",,"198907.36","159492.53",,
"6","A6","40",,"199566.33","159655.66",,
"6","A6","41",,"200571.47","159574.52",,
"6","A6","42",,"201645.16","159649.81",,
"6","A6","43",,"203042.52","159590.45",,
"6","A6","44",,"204903.27","159562.62",,
"6","A6","45",,"206949.73","159397.4",,
"6","A6","46",,"210024.19","159571.27",,
"6","A6","47",,"213777.94","159921.12",,
"6","A6","48",,"218270.0","159875.16",,
"6","A6","49",,"224054.0","159868.12",,
"6","A6","50",,"230132.98","159794.14",,
"6","A6","51",,"236267.22","159814.22",,
"6","A6","52",,"242625.61","159862.78",,
"6","A6","53",,"248947.56","159851.16",,
"6","A6","54",,"255121.78","159856.27",,
"6","A6","55",,"260933.14","159858.05",,
"6","A6","56",,"266540.3","160049.45",,
"6","A6","57",,"272214.25","159931.44",,
"6","A6","58",,"277303.62","160016.84",,
"6","A6","59",,"282637.34","160112.19",,
"6","A6","60",,"287395.9","160205.16",,
"6","A6","61",,"292487.53","160342.39",,
"6","A6","62",,"297081.56","160264.1",,
"6","A6","63",,"301691.88","160092.81",,
"6","A6","64",,"306139.75","160155.94",,
"6","A6","65",,"310419.28","160141.17",,
"6","A6","66",,"314405.28","160346.08",,
"6","A6","67",,"318227.0","160292.73",,
"6","A6","68",,"322194.56","159979.27",,
"6","A6","69",,"326853.3","159193.28",,
"6","A6","70",,"332681.53","158170.34",,
"6","A6","71",,"338511.1","156984.95",,
"6","A6","72",,"344762.78","156320.66",,
"6","A6","73",,"350567.9","155633.78",,
"6","A6","74",,"354939.06","155222.36",,
"6","A6","75",,"357835.9","154725.27",,
"6","A6","76",,"360767.78","154394.56",,
"6","A6","77",,"363878.0","154252.02",,
"6","A6","78",,"366378.34","154222.36",,
"6","A6","79",,"368226.88","154143.81",,
"6","A6","80",,"369415.06","154017.53",,
"6","A6","81",,"370957.03","153870.53",,
"6","A6","82",,"372286.1","153747.06",,
"6","A6","83",,"373016.94","153574.67",,
"6","A6","84",,"374154.8","153311.56",,
"6","A6","85",,"374726.88","153270.75",,
"6","A6","86",,"375203.6","153438.42",,
"6","A6","87",,"376015.03","153291.5",,
"6","A6","88",,"376618.16","153066.34",,
"6","A6","89",,"377650.7","153023.38",,
"6","A6","90",,"377719.38","153046.7",,
"7","A7","1",,"47786.75","153054.38",,
"7","A7","2",,"47948.676","153066.02",,
"7","A7","3",,"48196.99","152933.69",,
"7","A7","4",,"48244.35","152721.05",,
