,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
2751,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,26,-0.31310720520843777,0.6053385138511658
2752,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,27,0.3889177162601239,0.8477384448051453
2753,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,27,-0.3185468581852598,0.6152831315994263
2754,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,28,0.39903414135018606,0.8682956695556641
2755,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,28,-0.32378246213147105,0.6248258352279663
2756,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,29,0.40926424102948594,0.8891180753707886
2757,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,29,-0.3296161095135869,0.6355463862419128
2758,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,30,0.41841177425192605,0.9074156284332275
2759,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,30,-0.33426274963071395,0.6439291834831238
2760,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,31,0.42736262590090085,0.9252544045448303
2761,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,31,-0.33939987010827977,0.6532779932022095
2762,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,32,0.4352529406559481,0.9406197667121887
2763,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,32,-0.34380202667908916,0.6611793637275696
2764,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,33,0.44296553663996135,0.955570638179779
2765,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,33,-0.3480415372263889,0.668760359287262
2766,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,34,0.4528653973259765,0.9756227731704712
2767,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,34,-0.3535718652099908,0.6788835525512695
2768,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,35,0.4606432130833114,0.9907257556915283
2769,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,35,-0.36030499897444895,0.6913755536079407
2770,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,36,0.4692980712312628,1.0078742504119873
2771,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,36,-0.3658498543289635,0.7015272974967957
2772,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,37,0.4760978970648227,1.0206962823867798
2773,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,37,-0.37041931778811704,0.7097581624984741
2774,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,38,0.4833168468335219,1.0344957113265991
2775,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,38,-0.37493242715427194,0.717877984046936
2776,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,39,0.49072925807716034,1.0487464666366577
2777,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,39,-0.37896855450879435,0.7250584959983826
2778,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,40,0.4995029531945262,1.0661721229553223
2779,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,40,-0.3851017078545596,0.7363688945770264
2780,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,41,0.5068970661005086,1.0803802013397217
