,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
7928,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,5,-0.013984958,0.005115221,31622776,100000000,100,7.499999991736717,8,2
7929,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,5,0.002747985,-0.000552384,31622776,100000000,100,7.499999991736717,8,2
7930,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,6,-0.010320802,0.014119456522166729,31622776,100000000,100,7.499999991736717,8,2
7931,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,6,0.001723527,-0.000409645,31622776,100000000,100,7.499999991736717,8,2
7932,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,7,-0.004647286,0.028061458840966225,31622776,100000000,100,7.499999991736717,8,2
7933,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,7,0.00066444,-0.000199702,31622776,100000000,100,7.499999991736717,8,2
7934,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,8,0.004718449,0.051076662,31622776,100000000,100,7.499999991736717,8,2
7935,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,8,-0.000645494,0.000497062,31622776,100000000,100,7.499999991736717,8,2
7936,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,9,0.019195303069283597,0.086651839,31622776,100000000,100,7.499999991736717,8,2
7937,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,9,-0.003607058,0.004399155,31622776,100000000,100,7.499999991736717,8,2
7938,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,10,0.039253927626602785,0.13594357669353485,31622776,100000000,100,7.499999991736717,8,2
7939,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,10,-0.008320344,0.011700828559696674,31622776,100000000,100,7.499999991736717,8,2
7940,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,11,0.064671622,0.19840459525585175,31622776,100000000,100,7.499999991736717,8,2
7941,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,11,-0.016634651,0.025991028174757957,31622776,100000000,100,7.499999991736717,8,2
7942,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,12,0.093277704,0.2687006890773773,31622776,100000000,100,7.499999991736717,8,2
7943,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,12,-0.02869906,0.047559071,31622776,100000000,100,7.499999991736717,8,2
7944,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,13,0.12390854746607224,0.34397241473197937,31622776,100000000,100,7.499999991736717,8,2
7945,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,13,-0.047285188,0.081783868,31622776,100000000,100,7.499999991736717,8,2
7946,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,14,0.1512293877084922,0.41111019253730774,31622776,100000000,100,7.499999991736717,8,2
7947,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,14,-0.073989431,0.1317635327577591,31622776,100000000,100,7.499999991736717,8,2
7948,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,15,0.17523003706006787,0.47008898854255676,31622776,100000000,100,7.499999991736717,8,2
7949,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,15,-0.107387816,0.1947345733642578,31622776,100000000,100,7.499999991736717,8,2
7950,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,16,0.19431095350752078,0.5169781446456909,31622776,100000000,100,7.499999991736717,8,2
7951,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,16,-0.145828392,0.26749104261398315,31622776,100000000,100,7.499999991736717,8,2
7952,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,17,0.20819157564504032,0.5510881543159485,31622776,100000000,100,7.499999991736717,8,2
7953,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,17,-0.185456388,0.34255191683769226,31622776,100000000,100,7.499999991736717,8,2
7954,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,18,0.21831691477643653,0.5759699940681458,31622776,100000000,100,7.499999991736717,8,2
7955,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,18,-0.222327844,0.4122631847858429,31622776,100000000,100,7.499999991736717,8,2
7956,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,19,0.22629328015214714,0.595570982,31622776,100000000,100,7.499999991736717,8,2
7957,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,19,-0.258003987,0.4796546697616577,31622776,100000000,100,7.499999991736717,8,2
7958,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,20,0.23272074864428735,0.6113657355308533,31622776,100000000,100,7.499999991736717,8,2
7959,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,20,-0.29086112,0.5415753126144409,31622776,100000000,100,7.499999991736717,8,2
7960,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,21,0.24001694604716634,0.62929529,31622776,100000000,100,7.499999991736717,8,2
7961,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,21,-0.31964192,0.5955849885940552,31622776,100000000,100,7.499999991736717,8,2
7962,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,22,0.2468731032473811,0.6461434960365295,31622776,100000000,100,7.499999991736717,8,2
7963,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,22,-0.346617111,0.6460904479026794,31622776,100000000,100,7.499999991736717,8,2
7964,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,23,0.2534896662946955,0.6624029278755188,31622776,100000000,100,7.499999991736717,8,2
