,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,lg10 S036.5,lg10 S057.3.2,lg10 S057.4.2
5851,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,46,-0.5823034269441483,0.4949164390563965,100000000,1000000,10000,8.0,6.0,4.0
5852,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,47,0.19786665593889433,0.2748773694038391,100000000,1000000,10000,8.0,6.0,4.0
5853,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,47,-0.5941140113761291,0.5047978758811951,100000000,1000000,10000,8.0,6.0,4.0
5854,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,48,0.2038598090226072,0.2833620607852936,100000000,1000000,10000,8.0,6.0,4.0
5855,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,48,-0.6049598146250882,0.5138133764266968,100000000,1000000,10000,8.0,6.0,4.0
5856,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,49,0.2104238550279545,0.29272347688674927,100000000,1000000,10000,8.0,6.0,4.0
5857,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,49,-0.6130422226691845,0.5203483700752258,100000000,1000000,10000,8.0,6.0,4.0
5858,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,50,0.21673049659681531,0.30168959498405457,100000000,1000000,10000,8.0,6.0,4.0
5859,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,50,-0.6220603270206634,0.5277232527732849,100000000,1000000,10000,8.0,6.0,4.0
5940,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,1,-0.0026709894757094054,0.0005689753452315927,100000000,1000000,10000,8.0,6.0,4.0
5941,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,1,0.0037166158968608806,-0.0008013665210455656,100000000,1000000,10000,8.0,6.0,4.0
5942,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,2,-0.0018657079244094826,0.0009887585183605552,100000000,1000000,10000,8.0,6.0,4.0
5943,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,2,0.0027587075097949896,-0.0003531391848810017,100000000,1000000,10000,8.0,6.0,4.0
5944,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,3,-0.0014214698621484892,0.0008540842682123184,100000000,1000000,10000,8.0,6.0,4.0
5945,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,3,0.0015436171059458885,0.0003259369113948196,100000000,1000000,10000,8.0,6.0,4.0
5946,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,4,-0.0012014903695525697,0.000375014467863366,100000000,1000000,10000,8.0,6.0,4.0
5947,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,4,0.000711062540770652,0.0006616455502808094,100000000,1000000,10000,8.0,6.0,4.0
5948,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,5,-0.0007574657759889036,0.0002400124358246103,100000000,1000000,10000,8.0,6.0,4.0
5949,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,5,0.0008231521984856168,0.000149433413753286,100000000,1000000,10000,8.0,6.0,4.0
5950,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,6,-0.0005034768386596817,-0.0001868288090918213,100000000,1000000,10000,8.0,6.0,4.0
5951,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,6,-0.0002898589243668436,0.0007368822698481381,100000000,1000000,10000,8.0,6.0,4.0
5952,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,7,-0.00019226858732410214,-0.000525797950103879,100000000,1000000,10000,8.0,6.0,4.0
5953,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,7,-0.0005890081589675049,0.0005938016693107784,100000000,1000000,10000,8.0,6.0,4.0
5954,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,8,0.0009717374067119657,0.00044488112325780094,100000000,1000000,10000,8.0,6.0,4.0
5955,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,8,-0.000780085167305663,0.00035371456760913134,100000000,1000000,10000,8.0,6.0,4.0
5956,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,9,0.0014532451629018079,0.00036744229146279395,100000000,1000000,10000,8.0,6.0,4.0
5957,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,9,-0.0006755821466724132,-0.0001516877528047189,100000000,1000000,10000,8.0,6.0,4.0
5958,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,10,0.0016511888640599727,-0.00014546806050930172,100000000,1000000,10000,8.0,6.0,4.0
5959,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,10,-0.0007432974478897326,-0.0005025053978897631,100000000,1000000,10000,8.0,6.0,4.0
5960,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,11,0.002215794162245821,-9.529334784019738e-05,100000000,1000000,10000,8.0,6.0,4.0
5961,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,11,-0.0016992303211422232,-5.6051336287055165e-05,100000000,1000000,10000,8.0,6.0,4.0
5962,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,12,0.0027274301141266485,-0.0001264640741283074,100000000,1000000,10000,8.0,6.0,4.0
5963,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,12,-0.0018393921961551746,-0.0003418403211981058,100000000,1000000,10000,8.0,6.0,4.0
5964,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,13,0.0033593362707062726,2.7065096219303086e-05,100000000,1000000,10000,8.0,6.0,4.0
5965,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,13,-0.0018138433242322878,-0.0007763727335259318,100000000,1000000,10000,8.0,6.0,4.0
5966,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,14,0.0031633137878240548,-0.001090862206183374,100000000,1000000,10000,8.0,6.0,4.0
5967,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,14,-0.0030581348104156045,-7.108547288225964e-05,100000000,1000000,10000,8.0,6.0,4.0
5968,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,15,0.0036145769108516415,-0.001214748015627265,100000000,1000000,10000,8.0,6.0,4.0
5969,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,15,-0.004931403333255406,0.0011987769976258278,100000000,1000000,10000,8.0,6.0,4.0
5970,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,16,0.0039750188062890116,-0.0014781085774302483,100000000,1000000,10000,8.0,6.0,4.0
5971,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,16,-0.004474943435664963,0.00037745514418929815,100000000,1000000,10000,8.0,6.0,4.0
5972,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,17,0.005019957782829401,-0.0006902816821821034,100000000,1000000,10000,8.0,6.0,4.0
5973,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,17,-0.0036798240272058465,-0.0007478503976017237,100000000,1000000,10000,8.0,6.0,4.0
5974,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,18,0.005814759961715069,-0.00028659182135015726,100000000,1000000,10000,8.0,6.0,4.0
5975,JG071B,41,HEX,-inf,False,B17,0.0,HEX,JG071B.128,UNKNOWN,,31.340794,77,18,-0.004010017050302803,-0.0008630657684989274,100000000,1000000,10000,8.0,6.0,4.0
